DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Fairplay Finer Food,2025-04-14,Pass,TRUE,FALSE,FALSE,2200 S Western Ave,CHICAGO,IL,60608.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 OBSERVED THE FLOORS WITH ACCUMULATED FOOD DIRT AND GREASE DEBRIS BEHIND THE COOKING EQUIPMENT. INSTRUCTED TO CLEAN AND SANITIZE.",41.8519838395733,-87.6857857042053,FAIRPLAY FINER FOOD,2200 S WESTERN AVE,POINT (-87.6857857042053 41.8519838395733),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
La Casa Del Pueblo Inc,2025-03-13,Pass,TRUE,FALSE,FALSE,1810 S Blue Island Ave,CHICAGO,IL,60608.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 OBSERVED NO COVERED RECEPTACLE INSIDE OF THE EMPLOYEE TOILET ROOM. INSTRUCTED TO PROVIDE.",41.8574527463958,-87.6616883310637,LA CASA DEL PUEBLO INC,1810 S BLUE ISLAND AVE,POINT (-87.6616883310637 41.8574527463958),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Luciano'S Grocery-18Th St,2024-12-05,Pass,TRUE,FALSE,FALSE,1714 W 18Th St,CHICAGO,IL,60608.0,36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B) NOTED NO THERMOMETERS INSIDE REFRIGERATION UNIT CONSPICUOUSLY POSTED TO MONITOR THE AMBIENT TEMPERATURE OF EQUIPMENT (MEET DISPLAY COOLERS). INSTRUCTED TO EQUIP ALL REFRIGERATION UNITS WITH ACCURATE AND WORKING THERMOMETERS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13  OBSERVED NO FOOD HANDLER'S TRAINING CERTIFICATION FROM EMPLOYEE. INSTRUCTED THAT ALL EMPLOYEE MUST COMPLY WITH FOOD HANDLER'S TRAINING BY THE FOOD HANDLING REGULATION ENFORCEMENT ACT.,41.857856567514300,-87.6694195955633,LUCIANOS GROCERY18TH ST,1714 W 18TH ST,POINT (-87.6694195955633 41.857856567514304),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Charles Austin Limited,2024-11-13,Out Of Business,TRUE,FALSE,FALSE,1801-1803 S Canal St,CHICAGO,IL,60616.0,,41.8575700475551,-87.6387853651394,CHARLES AUSTIN LIMITED,18011803 S CANAL ST,POINT (-87.6387853651394 41.8575700475551),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
La Adelita,2024-07-17,Out Of Business,TRUE,FALSE,FALSE,2058 W 19Th St,CHICAGO,IL,60608.0,,41.8559125370644,-87.6782666721091,LA ADELITA,2058 W 19TH ST,POINT (-87.6782666721091 41.8559125370644),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Speedway #8309,2024-07-02,Pass W/ Conditions,TRUE,FALSE,FALSE,2303 S Western Ave,CHICAGO,IL,60608.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: 2-101.11 OBSERVED NO CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER'S CERTIFICATE POSTED ON SITE. INSTRUCTED THE PERSON IN CHARGE OF THE CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER'S CERTIFICATE MUST BE OBTAINED FROM KENNEDY KING COLLEGE, AND PROOF OF RECEIPT MUST BE ON SITE. PRIORITY FOUNDATION. CITATION ISSUED UNDER VIOLATION #2. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: 2-101.11 OBSERVED NO CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER'S CERTIFICATE POSTED ON SITE. INSTRUCTED THE PERSON IN CHARGE OF THE CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER'S CERTIFICATE MUST BE OBTAINED FROM KENNEDY KING COLLEGE, AND PROOF OF RECEIPT MUST BE ON SITE. PRIORITY FOUNDATION. CITATION ISSUED 7-38-012. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO ADEQUATE SUPPLIES ON SITE TO PROPERLY RESPOND TO VOMIT AND DIARRHEA EVENTS THAT CAN POTENTIALLY OCCUR INSIDE THE FACILITY. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION. CITATION ISSUED 7-38-005. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 OBSERVED FLOORS IN THE REAR WITH ACCUMULATED DIRT AND SODA DEBRIS. INSTRUCTED TO CLEAN ALL.",41.8501088554994,-87.6854376461942,SPEEDWAY 8309,2303 S WESTERN AVE,POINT (-87.6854376461942 41.8501088554994),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
El Milagro,2023-11-03,Pass,TRUE,FALSE,FALSE,1927 S Blue Island Ave,CHICAGO,IL,60608.0,,41.8552190832191,-87.6632407706627,EL MILAGRO,1927 S BLUE ISLAND AVE,POINT (-87.6632407706627 41.8552190832191),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Mi Mandado,2023-03-20,Out Of Business,TRUE,FALSE,FALSE,2021 W Cermak Rd,CHICAGO,IL,60608.0,,41.8520517770252,-87.6767212524981,MI MANDADO,2021 W CERMAK RD,POINT (-87.6767212524981 41.8520517770252),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Up N Smoke 2100,2022-09-23,Pass W/ Conditions,TRUE,FALSE,FALSE,2001 W Cermak Rd,CHICAGO,IL,60608.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO VOMIT AND DIARRHEA CLEAN UP SUPPLIES ON SITE. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-005. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14 OBSERVED NO HAND WASHING SIGN IN THE TOILET ROOM. INSTRUCTED TO PROVIDE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-203.13 OBSERVED NO UTILITY SINK ON PREMISES. INSTRUCTED TO INSTALL A UTILITY SINK.,41.8520640213543,-87.675959401283,UP N SMOKE 2100,2001 W CERMAK RD,POINT (-87.675959401283 41.8520640213543),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Supermercado Gonzalez,2022-01-06,Out Of Business,TRUE,FALSE,FALSE,2158 W 21St Pl,CHICAGO,IL,60608.0,,41.8531307807533,-87.6806497818038,SUPERMERCADO GONZALEZ,2158 W 21ST PL,POINT (-87.6806497818038 41.8531307807533),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
