DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Wild Forks Foods,2025-02-27,Pass,TRUE,FALSE,FALSE,1001 W North Ave,CHICAGO,IL,60642.0,,41.9107292920993,-87.6531526218953,WILD FORKS FOODS,1001 W NORTH AVE,POINT (-87.6531526218953 41.9107292920993),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Target Store T-3402,2025-01-17,Pass,FALSE,TRUE,TRUE,630 N La Salle Dr,CHICAGO,IL,60654.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FOOD DEBRIS ON FLOORS, ALONG BASES OF WALLS AND IN CORNERS IN STARBUCKS UNDERNEATH COUNTERS AND INSIDE CABINETS. INSTRUCTED TO CLEAN FLOORS, ALONG BASES OF WALLS AND IN CORNERS IN STARBUCKS UNDERNEATH COUNTERS AND INSIDE CABINETS.",41.8932447738684,-87.6327867038411,TARGET STORE T3402,630 N LA SALLE DR,POINT (-87.6327867038411 41.8932447738684),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Pepper Palace,2024-12-03,Out Of Business,TRUE,FALSE,FALSE,845 N Michigan Ave,CHICAGO,IL,60611.0,,41.8980799205033,-87.6239457056618,PEPPER PALACE,845 N MICHIGAN AVE,POINT (-87.6239457056618 41.8980799205033),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Target Store T-3207,2024-11-21,Pass,FALSE,TRUE,TRUE,401 E Illinois St,CHICAGO,IL,60611.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR OF THE REACH IN COOLERS IN NEED OF CLEANING. INSTRUCTED TO DETAIL CLEAN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BLUGING AND DAMAGED FLOOR TILES IN ALL WALK IN COOLERS. INSTRUCTED TO REPAIR TO CREATE A SMOOTH AND EASILY CLEANABLE SURFACE. MUST MAINTAIN AT ALL TIMES.",41.8909436152216,-87.6175405926084,TARGET STORE T3207,401 E ILLINOIS ST,POINT (-87.6175405926084 41.8909436152216),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
The Fudge Pot,2024-10-08,Pass,TRUE,FALSE,FALSE,1532 N Wells St,CHICAGO,IL,60610.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOOR IN FRONT SERVICE AREA WITH SMALL DEBRIS AND DIRT BUILD UP UNDER MOVABLE SHELVING AND EQUIPMENT AS WELL AS UNDER THE DISH WASHING SINK IN THE REAR.  INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HOLE IN THE DRY WALL UPPER LEFT OF THE THREE COMPARTMENT SINK BY THE A/C UNIT VENT ALSO AN OPENING UNDER THE THREE COMPARTMENT SINK IN THE REAR.  INSTRUCTED TO SEAL AREAS AS A MEANS OF PREVENTING POSSIBLE PEST AND OR INSECT ACTIVITY.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NEW EMPLOYEE WITHOUT A FOOD HANDLER CERTIFICATE.  INSTRUCTED TO OBTAIN FOR NEW EMPLOYEE AND PROVIDE ON SITE.",41.9101297869424,-87.6348252837504,THE FUDGE POT,1532 N WELLS ST,POINT (-87.6348252837504 41.9101297869424),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Tea Gschwender,2024-09-18,Pass,TRUE,FALSE,FALSE,1160 N State St,CHICAGO,IL,60610.0,,41.9036251522623,-87.6288208959807,TEA GSCHWENDER,1160 N STATE ST,POINT (-87.6288208959807 41.9036251522623),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
1350 Lake Shore Dr. Commissary,2024-09-10,Out Of Business,TRUE,FALSE,FALSE,1350 N Lake Shore Dr,CHICAGO,IL,60610.0,,41.9073601744412,-87.6258106615082,1350 LAKE SHORE DR COMMISSARY,1350 N LAKE SHORE DR,POINT (-87.6258106615082 41.9073601744412),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Lake Shore Groceries,2024-07-23,Pass,FALSE,TRUE,FALSE,900 N Lake Shore Dr,CHICAGO,IL,60611.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HAND SOAP AND HANDWASHING SIGNAGE PROVIDED AT REAR DELI AREA 3-COMPARTMENT SINK. INSTRUCTED TO REMOVE HAND SOAP AND OTHER HANDWASHING AIDS AND DEVICES FROM SINKS NOT DESIGNATED AS HANDWASHING SINKS AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED NONFOOD-CONTACT (EXTERIOR) SURFACES OF SANDWICH OVEN COVERED WITH PEELING AND FLAKING MANUFACTURER PLASTIC WRAP. INSTRUCTED TO REMOVE PLASTIC WRAP AND MAINTAIN SMOOTH AND EASILY-CLEANABLE NONFOOD-CONTACT SURFACES OF EQUIPMENT. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED NONFOOD-CONTACT SURFACES OF DELI MEAT SLICER (REAR PANEL, KNOB) AND COFFEE DISPENSER (EXTERIOR OF NOZZLES, REAR SPLASH PLATE) TO BE SOILED WITH DRIED FOOD DEBRIS AND OTHER SOILS. INSTRUCTED TO CLEAN NONFOOD-CONTACT SURFACES OF EQUIPMENT AT ADEQUATE FREQUENCY TO PREVENT BUILD UP OF SOIL AND MAINTAIN.",41.8992809909197,-87.6188945123018,LAKE SHORE GROCERIES,900 N LAKE SHORE DR,POINT (-87.6188945123018 41.8992809909197),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Embassy Gifts,2024-07-01,Out Of Business,TRUE,FALSE,FALSE,300 E Ohio St,CHICAGO,IL,60611.0,,41.89271058459390,-87.6201306584058,EMBASSY GIFTS,300 E OHIO ST,POINT (-87.6201306584058 41.89271058459391),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Travel Traders Llc,2024-06-13,Pass,TRUE,FALSE,FALSE,301 E North Water St,CHICAGO,IL,60611.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: DURING INSPECTION OBSERVED TO BE BODILY FLUID CLEAN UP KIT WITHOUT PROPER VOMITING AND DIARRHEAL CLEAN UP SUPPLIES. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. 7-38-005,41.8894582801094,-87.6203683764291,TRAVEL TRADERS LLC,301 E NORTH WATER ST,POINT (-87.6203683764291 41.8894582801094),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Travel Traders @ Embassy Suite,2024-06-06,Pass,TRUE,FALSE,FALSE,511 N Columbus Dr,CHICAGO,IL,60611.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 : MUST REPAIR OR REPLACE DAMAGED CABINET DOOR AT SERVICE COUNTER | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.114 : MUST ELEVATE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN REAR STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.13 : MUST CLEAN DUST BUILD UP FROM FLOOR UNDER FRONT SERVICE COUNTER AND REAR STORAGE AREA",41.8914048806943,-87.6200812297377,TRAVEL TRADERS EMBASSY SUITE,511 N COLUMBUS DR,POINT (-87.6200812297377 41.8914048806943),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
