DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Metro Spice Mart,2024-12-20,Out Of Business,TRUE,FALSE,FALSE,229 S Jefferson St,CHICAGO,IL,60661.0,,41.8783961049393,-87.6424016569327,METRO SPICE MART,229 S JEFFERSON ST,POINT (-87.6424016569327 41.8783961049393),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Metro Spice Mart,2024-12-20,Pass,TRUE,FALSE,FALSE,125 S Jefferson St Ste A,CHICAGO,IL,60661.0,"56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: Employee's personal items: coats,bags... stored on food boxes. Instructed to separate",41.879762888454,-87.6424464563556,METRO SPICE MART,125 S JEFFERSON ST STE A,POINT (-87.6424464563556 41.879762888454),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Masala'S,2024-11-27,Pass,TRUE,FALSE,FALSE,2229 W Taylor St,CHICAGO,IL,60612.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 OBSERVED A 1"" GAP ALONG THE BOTTOM OF THE FRONT DOOR THAT IS NOT RODENT PROOFED. MANAGEMENT INSTRUCTED TO RODENT PROOF ALL OUTER OPENINGS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 CLEAN THE FLOOR UNDER THE RETAIL STORAGE SHELVING UNITS.",41.8689207970879,-87.6823829644249,MASALAS,2229 W TAYLOR ST,POINT (-87.6823829644249 41.8689207970879),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Costco Wholesale # 1107,2024-11-22,Pass,FALSE,TRUE,TRUE,1430 S Ashland Ave,CHICAGO,IL,60608.0,,41.8624024249274,-87.6664189681571,COSTCO WHOLESALE 1107,1430 S ASHLAND AVE,POINT (-87.6664189681571 41.8624024249274),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
West Loop #3,2024-03-14,Pass,TRUE,FALSE,FALSE,1115 W Lake St Bldg,CHICAGO,IL,60607.0,,41.8854238905558,-87.6551409328106,WEST LOOP 3,1115 W LAKE ST BLDG,POINT (-87.6551409328106 41.8854238905558),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Peoria Packing Ltd,2024-01-05,Pass,TRUE,FALSE,FALSE,1300 W Lake St,CHICAGO,IL,60607.0,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED MINOR LEAK AT THREE-COMPARTMENT DRAINPIPE NEAR REAR STORAGE AREA.  INSTRUCTED TO REPIR AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE FOR PROPER DISPOSAL OF SANITARY NAPKINS IN ALL-GENDER WASHROOM ON THE FIRST FLOOR AND WOMENS EMPLOYEE RESTROOM ON THE SECOND FLOOR.  INSTRUCTED TO PROVIDE COVERED WASTE RECEPTACLE.",41.885580420009,-87.6589569107522,PEORIA PACKING LTD,1300 W LAKE ST,POINT (-87.6589569107522 41.885580420009),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Gopuff,2023-12-22,Pass,TRUE,FALSE,FALSE,1347 S Ashland Ave,CHICAGO,IL,60608.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 6-501.18 FOUND ALL PLUMBING FIXTURES IN ALL TOILET ROOMS FILLED WITH AN EXCESSIVE AMOUNT OF GRIME. PLUMBING FIXTURES such as HANDWASHING SINKS, toilets, and urinals shall be cleaned as often as necessary to keep them clean. MUST PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 FOUND GARBAGE RECEPTACLES WITHOUT COVER LOCATED IN UNISEX TOILET ROOM. INSTRUCTED MANAGER TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 FOUND FLOORS THROUGHOUT FACILITY BEHIND ALL SHELVING UNITS AND UNDER ALL SHELVING UNITS FILLED WITH AN EXCESSIVE AMOUNT OF FOOD DEBRIS. INSTRUCTED MANAGER TO CLEAN SANITIZE AND MAINTAIN.",41.863691227493100,-87.6661585059797,GOPUFF,1347 S ASHLAND AVE,POINT (-87.6661585059797 41.863691227493106),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Target Store T2781,2023-06-27,Pass,FALSE,TRUE,TRUE,1101 W Jackson Blvd,CHICAGO,IL,60607.0,,41.8777202071807,-87.6546900011066,TARGET STORE T2781,1101 W JACKSON BLVD,POINT (-87.6546900011066 41.8777202071807),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Instacart,2023-05-24,Pass,TRUE,FALSE,FALSE,1419 W Carroll Ave,CHICAGO,IL,60607.0,,41.8873292753711,-87.6633056900521,INSTACART,1419 W CARROLL AVE,POINT (-87.6633056900521 41.8873292753711),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
"Food Ventures North America, Inc",2022-06-15,Pass,TRUE,FALSE,FALSE,100 S Halsted St,CHICAGO,IL,60661.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FOUND 1/4 INCH GAP AT BOTTOM OF 2 DOOR (EAST DOOR) ENTRANCE. MUST PROVIDE CLOSED TIGHT FITTING DOORS TO PREVENT PEST HARBORAGE.",41.8804261978308,-87.6474668481154,FOOD VENTURES NORTH AMERICA INC,100 S HALSTED ST,POINT (-87.6474668481154 41.8804261978308),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Go! Grocer,2021-06-10,Pass,TRUE,FALSE,FALSE,205 S Peoria St,CHICAGO,IL,60607.0,,41.8789981048164,-87.6494662212003,GO GROCER,205 S PEORIA ST,POINT (-87.6494662212003 41.8789981048164),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Snap Kitchen,2021-05-03,Out Of Business,TRUE,FALSE,FALSE,125 S Clinton,CHICAGO,IL,60661.0,,41.8797819025418,-87.6409794563384,SNAP KITCHEN,125 S CLINTON,POINT (-87.6409794563384 41.8797819025418),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Health Food & Groceries,2020-09-24,Pass,TRUE,FALSE,FALSE,123 S Western Ave,CHICAGO,IL,60612.0,36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETERS INSIDE REFRIGERATION UNITS ON SITE. MUST PROVIDE AND MAINTAIN.,41.879568006318700,-87.686243346136,HEALTH FOOD GROCERIES,123 S WESTERN AVE,POINT (-87.686243346136 41.879568006318706),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Western & Madison Food,2020-08-19,Out Of Business,TRUE,FALSE,FALSE,2421 W Madison St,CHICAGO,IL,60612.0,,41.8810441650571,-87.6872178275419,WESTERN MADISON FOOD,2421 W MADISON ST,POINT (-87.6872178275419 41.8810441650571),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Hyatt House/Hyatt Place And Food Ct,2020-06-09,Pass W/ Conditions,TRUE,FALSE,FALSE,1835 W Harrison St,CHICAGO,IL,60612.0,,41.8739879533143,-87.6729974093366,HYATT HOUSEHYATT PLACE AND FOOD CT,1835 W HARRISON ST,POINT (-87.6729974093366 41.8739879533143),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Skinnie Piggy,2020-05-29,Out Of Business,TRUE,FALSE,FALSE,1214 W Taylor St,CHICAGO,IL,60607.0,,41.8695165508105,-87.6573324879774,SKINNIE PIGGY,1214 W TAYLOR ST,POINT (-87.6573324879774 41.8695165508105),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
"Roosevelt Jefferson Clinton,Llc",2020-05-22,Out Of Business,TRUE,FALSE,FALSE,1103-1123 S Jefferson St,CHICAGO,IL,60607.0,,41.8688923884935,-87.6420954561119,ROOSEVELT JEFFERSON CLINTONLLC,11031123 S JEFFERSON ST,POINT (-87.6420954561119 41.8688923884935),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Sam'S Quick Stop Food,2020-05-21,Pass W/ Conditions,TRUE,FALSE,FALSE,758 S Western Ave,CHICAGO,IL,60612.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO CLEAN UP SUPPLIES OR PROCEDURES ONSITE FOR VOMITING OR DIARRHEA EVENTS. INSTRUCTED TO PROVIDE SUPPLIES AND POST PROCEDURES FOR EMPLOYEES TO FOLLOW. PRIORITY FOUNDATION. 7-38-005 NO CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND EXCESSIVE DUST ACCUMULATION ON WALL VENT, INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND PEELING PAINT ON CEILING IN SALES FLOOR. INSTRUCTED TO REPAIR AND MAINTAIN.",41.8711663561382,-87.686311772601,SAMS QUICK STOP FOOD,758 S WESTERN AVE,POINT (-87.686311772601 41.8711663561382),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Brew & Grow,2020-05-21,Out Of Business,TRUE,FALSE,FALSE,19 S Morgan St,CHICAGO,IL,60607.0,,41.881102463653500,-87.6518650169446,BREW GROW,19 S MORGAN ST,POINT (-87.6518650169446 41.881102463653505),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Bk Minimart,2020-05-19,Out Of Business,TRUE,FALSE,FALSE,516 W Harrison St,CHICAGO,IL,60607.0,,41.874507101345,-87.6402945906176,BK MINIMART,516 W HARRISON ST,POINT (-87.6402945906176 41.874507101345),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Skinnie Piggy,2020-05-15,Out Of Business,TRUE,FALSE,FALSE,940 W Madison St,CHICAGO,IL,60607.0,,41.8818233129544,-87.6512785083952,SKINNIE PIGGY,940 W MADISON ST,POINT (-87.6512785083952 41.8818233129544),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Green Grocery,2020-03-24,Pass,TRUE,FALSE,FALSE,125 S Western Ave,CHICAGO,IL,60612.0,,41.8795066466314,-87.6862416110432,GREEN GROCERY,125 S WESTERN AVE,POINT (-87.6862416110432 41.8795066466314),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Olympic_Meat Packers Inc,2019-11-26,Out Of Business,TRUE,FALSE,FALSE,810 W Randolph St,CHICAGO,IL,60607.0,,41.8845090050338,-87.6479356613969,OLYMPICMEAT PACKERS INC,810 W RANDOLPH ST,POINT (-87.6479356613969 41.8845090050338),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Nicholas Quality Meats,2019-04-02,Out Of Business,TRUE,FALSE,FALSE,908 W Randolph St,CHICAGO,IL,60607.0,,41.8844702613308,-87.6501838681494,NICHOLAS QUALITY MEATS,908 W RANDOLPH ST,POINT (-87.6501838681494 41.8844702613308),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Aashirvaad Grocers,2018-12-17,Out Of Business,TRUE,FALSE,FALSE,1139 W Taylor St,CHICAGO,IL,60607.0,,41.8693225508586,-87.6557477405987,AASHIRVAAD GROCERS,1139 W TAYLOR ST,POINT (-87.6557477405987 41.8693225508586),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Brooklyn Boulders Chicago,2017-08-18,Pass,TRUE,FALSE,FALSE,100 S Morgan St,CHICAGO,IL,60607.0,,41.880343779167500,-87.6521349753827,BROOKLYN BOULDERS CHICAGO,100 S MORGAN ST,POINT (-87.6521349753827 41.880343779167504),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Chicago  Lighthouse,2017-03-31,Out Of Business,TRUE,FALSE,FALSE,1611 W Harrison St Lbby,CHICAGO,IL,60612.0,,41.874081988696,-87.66722275935,CHICAGO LIGHTHOUSE,1611 W HARRISON ST LBBY,POINT (-87.66722275935 41.874081988696),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Al'S  Food & Deli,2016-10-21,Out Of Business,TRUE,FALSE,FALSE,2257 W Taylor St,CHICAGO,IL,60612.0,,41.8689037742101,-87.683511757071,ALS FOOD DELI,2257 W TAYLOR ST,POINT (-87.683511757071 41.8689037742101),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Arista Foods,2016-08-03,Out Of Business,TRUE,FALSE,FALSE,112 N May St,CHICAGO,IL,60607.0,,41.8834021215628,-87.6557252930927,ARISTA FOODS,112 N MAY ST,POINT (-87.6557252930927 41.8834021215628),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Chicago News Now #1629,2016-01-05,Pass,TRUE,FALSE,FALSE,222 S Riverside Plz,CHICAGO,IL,60606.0,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: EXCESSIVE DEBRIS UNDER STORAGE SHELVING IN STORAGE CLOSET.MUST CLEAN/MAINTAIN.",41.8785815607215,-87.6385786681057,CHICAGO NEWS NOW 1629,222 S RIVERSIDE PLZ,POINT (-87.6385786681057 41.8785815607215),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
