DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Tuxedo Junction #2,2025-02-24,Out Of Business,TRUE,FALSE,FALSE,4300 S Union Ave,CHICAGO,IL,60609.0,,41.8161861098614,-87.6434518234938,TUXEDO JUNCTION 2,4300 S UNION AVE,POINT (-87.6434518234938 41.8161861098614),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
Healthy Lg Nutrition,2024-11-06,Pass,TRUE,FALSE,FALSE,1459 W 47Th St,CHICAGO,IL,60609.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 6-501.19 OBSERVED TOILET ROOM DOOR TO NOT BE SELF CLOSING. INSTRUCTED TO INSTALL A SELF CLOSING DEVICE AND MAINTAIN AT ALL TIMES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED BROKEN AND STAINED CEILING TILE PANELS IN THE BACK. INSTRUCTED TO REPAIR, OR REPLACE BROKEN PANELS AND REPLACE THE STAINED CEILING TILES. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-202.11 OBSERVED A MISSING LIGHT SHIELD IN THE BATHROOM CEILING LIGHT, AND IN THE BACK ABOVE STOVE. INSTRUCTED TO PROVIDE AND MAINTAIN AT ALL TIMES.",41.8085277930439,-87.6624703416028,HEALTHY LG NUTRITION,1459 W 47TH ST,POINT (-87.6624703416028 41.8085277930439),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
El Buen San Pedrano,2024-08-21,Pass,TRUE,FALSE,FALSE,4500 S Wood St,CHICAGO,IL,60609.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE TOILET ROOM RECEPTACLE WITH COVER FOR SANITARY NAPKINS IN EMPLOYEES'  BATHROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REMOVE OR ORGANIZE EXCESSIVE CLUTTER THROUGHOUT THE BACK OF THE STOORE AND  STORAGE AREA. MUST REMOVE ALL UNNECESSARY ITEMS, PROPERLY ELEVATE STOCK 6"" OFF THE FLOOR AND AWAY FROM THE WALLS FOR BETTER CLEANING AND PEST MONITORING. INSTRUCTED TO MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED LARGE HOLE, APPRX 20"" ON THE BACK STORAGE ROOM CEILING. INSTRUCTED TO SEAL TO PREVENT PEST ENTRY. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  OBSERVED BURNED OUT LIGHT-BULBS IN TWO LIGHT FIXURES IN THE STORE. INSTRUCTED TO REPLACE BULBS AND MAINTAIN LIGHTING IN THE UNIT.",41.8121051529772,-87.6700718335162,EL BUEN SAN PEDRANO,4500 S WOOD ST,POINT (-87.6700718335162 41.8121051529772),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
"Park Packing Of Chicago, Inc",2023-12-06,Pass,TRUE,FALSE,FALSE,1544 W 41St St,CHICAGO,IL,60609.0,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED A LEAK FROM THE PIPE UNDERNEATH THE EXPOSED HANDSINK IN THE CUSTOMER SERVICE AREA; INSTRUCTED TO REPAIR LEAK AT PIPE.,41.819159444267500,-87.6642353554384,PARK PACKING OF CHICAGO INC,1544 W 41ST ST,POINT (-87.6642353554384 41.819159444267505),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
A S Petroleum,2023-12-05,Pass,TRUE,FALSE,FALSE,2006 W Garfield Blvd,CHICAGO,IL,60609.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE CENTER AREA OF THE FRONT ENTRANCE DOOR NOT COMPLETELY RODENT PROOFED; INSTRUCTED TO SEAL CENTER AREA OF DOOR TO PREVENT POSSIBLE RODENT ENTRY. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING FROM THE BOTTOM OF THE UTILITY SINK AND FROM THE FAUCET OF THE THREE COMP SINK WHEN RUNNING WATER; INSTRUCTED TO REPAIR LEAKS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW PREVENTION DEVICE ON UTILITY SINK; INSTRUCTED TO INSTALL AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO COVER ON WASTE RECEPTACLE IN UNISEX WASHROOM; INSTRUCTED TO PROVIDE A COVER FOR THE WASTE RECEPTACLE IN WASHROOM. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE TOILET IN THE WASHROOM IN NEED OF CLEANING; INSRUCTED TO CLEAN TOILET AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A SMALL HOLE IN THE CORNER WALL NEXT TO THE 3 DOOR FREEZER ON SELLING FLOOR; INSTRUCTED TO SEAL HOLE IN WALL.  OBSERVED WATER STAINED CEILING TILE ON THE WASHROOM CEILING; INSTRUCTED TO REPLACE TILE WHERE NEEDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN FLOORS AND WALLS IN REAR STORAGE AREA.  CLEAN VENT ABOVE THREE COMP SINK TO REMOVE DUST AND VENT FAN IN WASHROOM ON CEILING TO REMOVE DUST.",41.7940226935531,-87.6746375598006,A S PETROLEUM,2006 W GARFIELD BLVD,POINT (-87.6746375598006 41.7940226935531),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
Supermercado El Cubano Inc,2023-12-04,Out Of Business,TRUE,FALSE,FALSE,4939 S Ashland Ave,CHICAGO,IL,60609.0,,41.8037823230218,-87.6646953278802,SUPERMERCADO EL CUBANO INC,4939 S ASHLAND AVE,POINT (-87.6646953278802 41.8037823230218),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
Advanced Petroleum,2022-07-06,Pass,TRUE,FALSE,FALSE,4701 S Western Blvd,CHICAGO,IL,60609.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO SELF CLOSING DOOR IN TOILET ROOM. INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST BUILD UP ON CEILING FAN IN TOILET ROOM. INSTRUCTED TO CLEAN AND MAINTAIN.",41.8083731277443,-87.6837260047119,ADVANCED PETROLEUM,4701 S WESTERN BLVD,POINT (-87.6837260047119 41.8083731277443),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
Justine Grocery Inc,2022-04-20,Pass,TRUE,FALSE,FALSE,1535 W 47Th St,CHICAGO,IL,60609.0,,41.8085090952356,-87.6638772581524,JUSTINE GROCERY INC,1535 W 47TH ST,POINT (-87.6638772581524 41.8085090952356),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
"Fruteria Favela, Inc.",2022-03-09,Out Of Business,TRUE,FALSE,FALSE,4801 S Wolcott Ave,CHICAGO,IL,60609.0,,41.8066250280921,-87.6720602763634,FRUTERIA FAVELA INC,4801 S WOLCOTT AVE,POINT (-87.6720602763634 41.8066250280921),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
Dripinft Nutrition,2022-02-17,Pass,TRUE,FALSE,FALSE,4342 S Ashland Ave,CHICAGO,IL,60609.0,,41.814598009588,-87.6652681920184,DRIPINFT NUTRITION,4342 S ASHLAND AVE,POINT (-87.6652681920184 41.814598009588),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
