DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Wild Fork Foods,2022-06-07,Pass,TRUE,FALSE,FALSE,2340 W Belmont Ave,CHICAGO,IL,60618.0,,41.93957596433070,-87.6871600958555,WILD FORK FOODS,2340 W BELMONT AVE,POINT (-87.6871600958555 41.93957596433071),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Lee Grocery Inc,2020-05-06,Out Of Business,TRUE,FALSE,FALSE,4332 N Western Ave,CHICAGO,IL,60618.0,,41.9605049083221,-87.688806079485,LEE GROCERY INC,4332 N WESTERN AVE,POINT (-87.688806079485 41.9605049083221),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
City Olive,2020-04-17,Out Of Business,TRUE,FALSE,FALSE,2236 W Roscoe St,CHICAGO,IL,60618.0,,41.9432496671831,-87.6847441353541,CITY OLIVE,2236 W ROSCOE ST,POINT (-87.6847441353541 41.9432496671831),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Suckers Candy Inc,2020-03-20,Out Of Business,TRUE,FALSE,FALSE,3256 N Damen Ave,CHICAGO,IL,60618.0,,41.9412863749934,-87.6785488464657,SUCKERS CANDY INC,3256 N DAMEN AVE,POINT (-87.6785488464657 41.9412863749934),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Miska'S,2018-03-14,Pass,TRUE,FALSE,FALSE,2156 W Belmont Ave,CHICAGO,IL,60618.0,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: INSTRUCTED TO DETAIL CLEAN THE INTERIOR SURFACE OF THE ICE MACHINE TO REMOVE PINK BUILDUP AND MAINTAIN.",41.93962534526630,-87.6830072134127,MISKAS,2156 W BELMONT AVE,POINT (-87.6830072134127 41.93962534526631),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Grandslam-Marathon,2017-10-30,Pass,TRUE,FALSE,FALSE,3139-3151 N Western Ave,CHICAGO,IL,60618.0,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED DUST/DIRT BUILD UP ON FLOOR ALONG CORNERS AND WALLS AT MOP SINK ROOM. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN MOP SINK ROOM FLOOR. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: NO THERMOMETER INSIDE PRE-PACKED SANDWICH 1-DOOR COOLER. MUST PROVIDE THERMOMETER INSIDE SAID COOLER.",41.938781459479,-87.6877552147653,GRANDSLAMMARATHON,31393151 N WESTERN AVE,POINT (-87.6877552147653 41.938781459479),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Marcy'S Mart,2016-01-08,Pass,TRUE,FALSE,FALSE,2343 W Irving Park Rd,CHICAGO,IL,60618.0,38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST PROVIDE A BACKFLOW PREVENTION DEVICE FOR THE MOP SINK FAUCET.,41.9539139032174,-87.687728903568,MARCYS MART,2343 W IRVING PARK RD,POINT (-87.687728903568 41.9539139032174),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
The Privatebank Pitch,2015-12-09,Pass,TRUE,FALSE,FALSE,3626 N Talman Ave,CHICAGO,IL,60618.0,,41.9474991013133,-87.6950340674641,THE PRIVATEBANK PITCH,3626 N TALMAN AVE,POINT (-87.6950340674641 41.9474991013133),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
American Grocery Store,2014-12-17,Out Of Business,TRUE,FALSE,FALSE,1911 W Belmont Ave,CHICAGO,IL,60657.0,,41.9394861703996,-87.6764259106132,AMERICAN GROCERY STORE,1911 W BELMONT AVE,POINT (-87.6764259106132 41.9394861703996),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Kwik Mart,2014-12-04,Pass,TRUE,FALSE,FALSE,2336 W Belmont Ave,CHICAGO,IL,60618.0,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN DUSTY FOOD STORAGE SHELVES DOWN GROCERY AISLES, | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST REPAIR LOW WATER PRESSURE IN BATHROOM HAND SINK, | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST REMOVE CLUTTER IN REAR AREA, CLEAN AND BETTER MAINTAIN,",41.9395777685524,-87.6870180896553,KWIK MART,2336 W BELMONT AVE,POINT (-87.6870180896553 41.9395777685524),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Veg Head,2014-09-29,Out Of Business,TRUE,FALSE,FALSE,4064 N Lincoln Ave,CHICAGO,IL,60618.0,,41.9558680800759,-87.6801228669928,VEG HEAD,4064 N LINCOLN AVE,POINT (-87.6801228669928 41.9558680800759),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Dream Dinners,2014-09-16,Out Of Business,TRUE,FALSE,FALSE,2124 W Belmont Ave,CHICAGO,IL,60618.0,,41.9396409916709,-87.6818052390393,DREAM DINNERS,2124 W BELMONT AVE,POINT (-87.6818052390393 41.9396409916709),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
"A & L Grocer, Inc.",2014-09-15,Out Of Business,TRUE,FALSE,FALSE,2154 W Addison St,CHICAGO,IL,60618.0,,41.9469137016788,-87.6831810314761,A L GROCER INC,2154 W ADDISON ST,POINT (-87.6831810314761 41.9469137016788),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Sarah Mart Inc.,2013-08-19,Pass,TRUE,FALSE,FALSE,3601 N Damen Ave,CHICAGO,IL,60618.0,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: FRONT WINDOW SILL, BEHIND REACH IN COOLER HAS BUILD UP OF DIRT AND DUIST. MUST DETAIL CLEAN. RACKS BESIDES REACH IN COOLER HAS BUILD OF DUST AND DIRT. MUST DETAIL CLEAN. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MISSING FLOOR TILES IN WALK IN COOLER. MUST REPAIR OR REPLACE. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: GAPS,AND HOLES IN CEILING TILE. MUST FILL IN GAPS AND HOLES. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST PROVIDE BACKFLOW PREVENTION DEVICE ON MOP SINK. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST REMOVE CRATES AND BOXES SIX INCHES OFF FLOOR.",41.9469120480384,-87.6784065274626,SARAH MART INC,3601 N DAMEN AVE,POINT (-87.6784065274626 41.9469120480384),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
"Bottles And Cans, Llc",2012-09-20,Pass,TRUE,FALSE,FALSE,4109 N Lincoln Ave,CHICAGO,IL,60618.0,,41.9562916003581,-87.6800880801368,BOTTLES AND CANS LLC,4109 N LINCOLN AVE,POINT (-87.6800880801368 41.9562916003581),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
