DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Chicago Mm Deal,2025-01-24,Pass,TRUE,FALSE,FALSE,3950 W Cermak Rd,CHICAGO,IL,60623.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE AT WASHBOWL. INSTRUCTED TO PROVIDE.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FRONT AND REAR DOORS OF FACILITY NOT RODENT PROOF. INSTRUCTED TO PROVIDE AND MAINTAIN IN ORDER TO PREVENT PEST ENTRY. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED WASHBOWL IN TOILET ROOM SLOW DRAINING DURING TIME OF INSPECTION, INSTRUCTED TO REPAIR AND MAINTAIN IN GOOD CONDITION. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CARPET INSTALLED THROUGHOUT FACILITY. INSTRUCTED TO REMOVE AND PROVIDE SMOOTH AND EASILY CLEANABLE FLOOR SURFACES.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO ENCLOSE WALL OPENINGS NEAR REAR EXIT DOOR AS WELL AS MOP SINK.",41.8516637839813,-87.7242929372576,CHICAGO MM DEAL,3950 W CERMAK RD,POINT (-87.7242929372576 41.8516637839813),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Pulaski Food & Deli Inc,2024-12-18,Pass,TRUE,FALSE,FALSE,2022-24 S Pulaski Rd,CHICAGO,IL,60623.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A BUILD UP OF DEBRIS, DIRT AND OTHER ITEMS ON THE FLOOR AROUND THE EQUIPMENT IN THE REAR DISH WASHING AREA.  INSTRUCTED TO CLEAN AND DECLUTTER AREA AS A MEANS OF PREVENTING POSSIBLE PEST AND OR INSECT HARBORING.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED THE HOOD VENTILATION FILTERS IN THE REAR FOOD SERVICE AREA WITH A BUILD UP OF DUST AND GREASE.  INTRUCTED TO CLEAN AND MAINTAIN.",41.8535894748452,-87.7249551590166,PULASKI FOOD DELI INC,202224 S PULASKI RD,POINT (-87.7249551590166 41.8535894748452),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Del Pharmacy-Edward Muldrow,2024-04-24,Out Of Business,TRUE,FALSE,FALSE,3726 W 16Th St,CHICAGO,IL,60623.0,,41.8590450257241,-87.7186170404058,DEL PHARMACYEDWARD MULDROW,3726 W 16TH ST,POINT (-87.7186170404058 41.8590450257241),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Bottom Up Accessories,2024-03-21,Pass,TRUE,FALSE,FALSE,1554 S Pulaski Rd,CHICAGO,IL,60623.0,,41.8590705980634,-87.7251073290427,BOTTOM UP ACCESSORIES,1554 S PULASKI RD,POINT (-87.7251073290427 41.8590705980634),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Millard Food,2021-03-10,Pass,TRUE,FALSE,FALSE,3638 W 16Th St,CHICAGO,IL,60623.0,,41.8590646843045,-87.7166749975318,MILLARD FOOD,3638 W 16TH ST,POINT (-87.7166749975318 41.8590646843045),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Save A Lot,2020-12-02,Out Of Business,TRUE,FALSE,FALSE,3939 W Ogden Ave,CHICAGO,IL,60623.0,,41.8512884884058,-87.7238508433293,SAVE A LOT,3939 W OGDEN AVE,POINT (-87.7238508433293 41.8512884884058),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Mountain I Inc,2020-07-29,Pass,TRUE,FALSE,FALSE,3713 W Roosevelt Rd,CHICAGO,IL,60624.0,,41.86615189342,-87.7184369716759,MOUNTAIN I INC,3713 W ROOSEVELT RD,POINT (-87.7184369716759 41.86615189342),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Platinum Star,2020-07-22,Pass W/ Conditions,TRUE,FALSE,FALSE,3821-3823 W Roosevelt Rd,CHICAGO,IL,60624.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING OR DIARRHEAL EVENTS. SUPPLIES MUST INCLUDE ADEQUATE SANITIZER THAT ELIMINATES NOROVIRUS. INSTRUCTED FACILITY TO PROVIDE CLEAN UP POLICY AND SUPPLIES TO PROPERLY HANDLE BODILY FLUID SPILLS ON SITE. PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNAGE AT THE HAND SINK IN THE EMPLOYEE TOLIET ROOM. INSTRUCTED TO PROVIDE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED AN EXCESSIVE AMOUNT OF ICE BUILDUP ON THE FLOOR/WALLS/CEILING OF THE ONE DOOR REACH-IN FREEZER AND CHEST FREEZER WHERE THE ICE CREAM IS STORED. MUST REMOVE EXCESS ICE, DETAIL CLEAN, AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER STAINED CEILING TILES IN THE EMPLOYEE TOLIET ROOM. INSTRUCTED TO REPLACE THE STAINED CEILING TILES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SEVERAL MOP IN A POSITION THAT DOES NOT ALLOW TO DRY PROPERLY AND PREVENT PEST HARBORAGE STORED IN THE REAR. MUST STORE MOP AFTER USE IN A MOUNTED POSITION THAT ALLOWS FOR AIR-DRYING WITHOUT SOILING AND PEST HARBORAGING.",41.8661194939741,-87.7209275739962,PLATINUM STAR,38213823 W ROOSEVELT RD,POINT (-87.7209275739962 41.8661194939741),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
N Q Management,2020-06-29,Out Of Business,TRUE,FALSE,FALSE,4115 W Roosevelt Rd,CHICAGO,IL,60624.0,,41.8660171486125,-87.7283152964801,N Q MANAGEMENT,4115 W ROOSEVELT RD,POINT (-87.7283152964801 41.8660171486125),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Frank Food #4,2020-06-23,Out Of Business,TRUE,FALSE,FALSE,1819 S Kedzie Ave,CHICAGO,IL,60623.0,,41.8571409548858,-87.7052611685122,FRANK FOOD 4,1819 S KEDZIE AVE,POINT (-87.7052611685122 41.8571409548858),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
