DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Now Luck Llc,2024-02-05,Pass W/ Conditions,TRUE,FALSE,FALSE,3448 W Foster Ave,CHICAGO,IL,60625.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11--OBSERVED NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT.(NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THAT IS EFFECTVE AGAINST NOROVIRUS). PRIORITY FOUNDATION VIOLATION 7-38-005. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-204.12--BACKFLOW PREVENTION DEVICE NOT LOCATED AT UTILITY MOP SINK.MUST INSTALL SO BACKFLOW PREVENTION DEVICE MAY BE LOCATED TO BE SERVICED AND MAINTAINED.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 6-501.19--OBSERVED NO SELF-CLOSING DOOR DEVICE ON THE WASHROOM DOOR. MANAGEMENT INSTRUCTED TO INSTALL A SELF-CLOSING DOOR DEVICE ON WASHROOM DOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114--OBSERVED UNNECESSARY ITEMS STORED AT REAR STORAGE ROOM, UTILITY CLOSET AND INOPERABLE FREEZER IN GROCERY ISLE. INSTRUCTED TO REMOVED UNNECESSARY ITEMS FROM STORAGE ROOM, AND UTILITY MOP SINK CLOSET AND GROCERY ISLE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-303.11--OBSERVED BURNED OUT LIGHT BULBS IN WASHROOM AND UTILITY MOP SINK CLOSET. INSTRUCTED TO REPLACE LIGHT BULBS AND MAINTAIN ADEQUATE LIGHTING AT ALL TIMES.",41.9757790875264,-87.7155402470304,NOW LUCK LLC,3448 W FOSTER AVE,POINT (-87.7155402470304 41.9757790875264),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Fresh Street,2022-06-02,Pass,TRUE,FALSE,FALSE,6193 N Lincoln Ave,CHICAGO,IL,60659.0,,41.9944638521968,-87.7137701254945,FRESH STREET,6193 N LINCOLN AVE,POINT (-87.7137701254945 41.9944638521968),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Chicago Food Corporation,2021-11-04,Out Of Business,TRUE,FALSE,FALSE,5825 N Tripp Ave,CHICAGO,IL,60646.0,,41.9864195796959,-87.7340373818792,CHICAGO FOOD CORPORATION,5825 N TRIPP AVE,POINT (-87.7340373818792 41.9864195796959),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Foster Grocery Plus,2019-01-10,Out Of Business,TRUE,FALSE,FALSE,3358 W Foster Ave,CHICAGO,IL,60625.0,,41.9758006281559,-87.7134986723115,FOSTER GROCERY PLUS,3358 W FOSTER AVE,POINT (-87.7134986723115 41.9758006281559),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Al Wali Convenient Store,2017-11-20,Out Of Business,TRUE,FALSE,FALSE,3417 W Peterson Ave,CHICAGO,IL,60659.0,,41.9902032046381,-87.7147746739012,AL WALI CONVENIENT STORE,3417 W PETERSON AVE,POINT (-87.7147746739012 41.9902032046381),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Z Best,2017-02-14,Pass,TRUE,FALSE,FALSE,5609 N Kimball Ave,CHICAGO,IL,60659.0,,41.983329273809,-87.7136146110248,Z BEST,5609 N KIMBALL AVE,POINT (-87.7136146110248 41.983329273809),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Makki Meat & Grocery Inc,2016-10-05,Out Of Business,TRUE,FALSE,FALSE,3348 W Bryn Mawr Ave,CHICAGO,IL,60659.0,,41.983122172716100,-87.7132906739457,MAKKI MEAT GROCERY INC,3348 W BRYN MAWR AVE,POINT (-87.7132906739457 41.983122172716094),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
"Mexico U.S.A., Inc.",2014-12-03,Out Of Business,TRUE,FALSE,FALSE,3338 W Bryn Mawr Ave,CHICAGO,IL,60659.0,,41.9831266531049,-87.7128989545209,MEXICO USA INC,3338 W BRYN MAWR AVE,POINT (-87.7128989545209 41.9831266531049),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Song  Oriental Herb,2014-12-03,Pass,TRUE,FALSE,FALSE,3246 1/2 W Bryn Mawr Ave,CHICAGO,IL,60659.0,"36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST CLEAN AND REMOVE DEAD INSECTS FROM THE INSIDE OF THE LIGHT SHIELDS AT THE FRONT CUSTOMER RECEIVING AREA.",41.9831562433497,-87.7107690011307,SONG ORIENTAL HERB,3246 12 W BRYN MAWR AVE,POINT (-87.7107690011307 41.9831562433497),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Z Best Inc,2014-07-30,Out Of Business,TRUE,FALSE,FALSE,3403 W Bryn Mawr Ave,CHICAGO,IL,60659.0,,41.9828967437487,-87.7138784233274,Z BEST INC,3403 W BRYN MAWR AVE,POINT (-87.7138784233274 41.9828967437487),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
