DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Herbalife,2024-08-07,Out Of Business,TRUE,FALSE,FALSE,4758 W Belmont Ave,CHICAGO,IL,60641.0,,41.9389442394332,-87.7462473117744,HERBALIFE,4758 W BELMONT AVE,POINT (-87.7462473117744 41.9389442394332),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Alexandra Foods,2024-06-14,Pass,TRUE,FALSE,FALSE,3300-3308 N Central Ave,CHICAGO,IL,60634.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STANDING WATER ON FLOOR IN STAFF TOILET ROOM (RETAIL SIDE). MUST CLEAN.",41.940443982198,-87.7667126478611,ALEXANDRA FOODS,33003308 N CENTRAL AVE,POINT (-87.7667126478611 41.940443982198),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Nakhil Palace,2024-05-28,Pass,TRUE,FALSE,FALSE,6014-6016 W Irving Park Rd,CHICAGO,IL,60634.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-602.11(A; B:1-4,6,7; C; D)--OBSERVED PACKAGED MEDJOOL DATES AND RADISHES FOR CUSTOMER SELF SERVICE WITHOUT A LABEL. INSTRUCTED TO PROVIDE A LABEL WITH NAME OF FOOD, ADDRESS, INGREDIENTS, NET QUANTITY, ALLERGENS IF APPLICABLE.",41.9531507978415,-87.7774325886871,NAKHIL PALACE,60146016 W IRVING PARK RD,POINT (-87.7774325886871 41.9531507978415),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Nutrition House,2024-04-03,Pass W/ Conditions,TRUE,FALSE,FALSE,4020 N Milwaukee Ave,CHICAGO,IL,60641.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON PREMISES. INSTRUCTED THE PERSON IN CHARGE TO KEEP AN EMPLOYEE HEALTH POLICY THAT WILL ENSURE THAT THE PERSON IN CHARGE IS MADE AWARE BY THEIR EMPLOYEES INFORMATION ABOUT THEIR HEALTH AND ACTIVITIES AS THEY RELATE TO DISEASES THAT ARE TRANSMISSIBLE THROUGH FOOD, IN ACCORDANCE WITH THE LAW.PRIORITY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED.   | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACK FLOW PREVENTION DEVICE FOR ICE MACHINE AND SERVICE SINK. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE A BACKFLOW PREVENTION DEVICE FOR ICE MACHINE AND SERVICE SINK LOCATED SO THAT IT MAY BE SERVICED AND MAINTAINED.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HOLES SURROUNDING PIPING ABOVE THE HEATING AND COOLING UNIT IN THE ELECTRICAL ROOM IN THE REAR. INSTRUCTED THE PERSON IN CHARGE TO SMOOTHLY SEAL ALL HOLES AND MAINTAIN IN GOOD REPAIR.",41.9537446482787,-87.748098721534,NUTRITION HOUSE,4020 N MILWAUKEE AVE,POINT (-87.748098721534 41.9537446482787),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Target Store T3447,2024-03-07,Pass,FALSE,TRUE,TRUE,4728 W Irving Park Rd,CHICAGO,IL,60641.0,,41.9535433951872,-87.7466135437924,TARGET STORE T3447,4728 W IRVING PARK RD,POINT (-87.7466135437924 41.9535433951872),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
J.J. Peppers Food,2023-12-21,Pass,TRUE,FALSE,FALSE,3555 N Central Ave,CHICAGO,IL,60634.0,,41.9457165630522,-87.7666032976111,JJ PEPPERS FOOD,3555 N CENTRAL AVE,POINT (-87.7666032976111 41.9457165630522),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Belmont & Major Mart,2023-12-07,Pass,TRUE,FALSE,FALSE,3206 N Major Ave,CHICAGO,IL,60634.0,56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-304.11-- OBSERVED NO MECHANICAL VENTILATION IN TOILET ROOM. MUST PROVIDE.,41.9387758414226,-87.7690866706695,BELMONT MAJOR MART,3206 N MAJOR AVE,POINT (-87.7690866706695 41.9387758414226),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Randee'S Food Store,2023-10-23,Pass,TRUE,FALSE,FALSE,4319-4321 N Milwaukee Ave,CHICAGO,IL,60641.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS, WALLS, AND CEILING INSIDE SMALL OFFICE AT REAR NOT CLEAN DUE TO FIRE.MUST CLEAN.",41.9594225607793,-87.7532551676541,RANDEES FOOD STORE,43194321 N MILWAUKEE AVE,POINT (-87.7532551676541 41.9594225607793),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
S B Brothers Llc,2023-09-22,Pass,TRUE,FALSE,FALSE,3314 N Central Ave,CHICAGO,IL,60634.0,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACK FLOW PREVENTER DEVICE ON MOP SINK FAUCET. MUST PROVIDE.,41.9408865131452,-87.7667276105584,S B BROTHERS LLC,3314 N CENTRAL AVE,POINT (-87.7667276105584 41.9408865131452),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Snacks N Smoke,2023-09-15,Pass,TRUE,FALSE,FALSE,3200 N Cicero Ave,CHICAGO,IL,60641.0,,41.9388705551203,-87.7470205618084,SNACKS N SMOKE,3200 N CICERO AVE,POINT (-87.7470205618084 41.9388705551203),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
