DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
The Grocer,2025-03-12,Out Of Business,TRUE,FALSE,FALSE,1345 W Morse Ave,CHICAGO,IL,60626.0,,42.0078075101736,-87.6655186121395,THE GROCER,1345 W MORSE AVE,POINT (-87.6655186121395 42.0078075101736),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Casa Hernandez,2025-03-06,Pass,TRUE,FALSE,FALSE,1725 W Lunt,CHICAGO,IL,60626.0,,42.0088967093671,-87.6733112305424,CASA HERNANDEZ,1725 W LUNT,POINT (-87.6733112305424 42.0088967093671),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Eastview Inc,2025-02-18,Out Of Business,TRUE,FALSE,FALSE,1501 W Jarvis Ave,CHICAGO,IL,60626.0,,42.0159376027819,-87.6682441046934,EASTVIEW INC,1501 W JARVIS AVE,POINT (-87.6682441046934 42.0159376027819),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Deli Spot & Ice Cream,2025-01-16,Pass W/ Conditions,TRUE,FALSE,FALSE,6627 N Clark St,CHICAGO,IL,60626.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments:  FOUND NO EMPLOYEE HEALTH POLICY/TRAINING ON SITE. INSTRUCTED FACILITY TO ESTABLISH AN APPROPRIATE EMPLOYEE HEALTH POLICY/TRAINING SYSTEM AND MAINTAIN WITH VERIFIABLE DOCUMENTS ON SITE. PRIORITY FOUNDATION VIOLATION 7-38-010. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: BOTTOM FRONT DOOR WITH 1/4"" GAP. REPAIR ISSUE TO MINIMIZE PEST ENTRY | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:  NO SELF CLOSING DEVICE PROVIDED AT STAFF WASHROOM DOOR.MUST PROVIDE A SELF CLOSING DEVICE AT SAID DOOR",42.0025912541835,-87.6720123326131,DELI SPOT ICE CREAM,6627 N CLARK ST,POINT (-87.6720123326131 42.0025912541835),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Taj Neighborhood Grocery Inc.,2024-11-19,Out Of Business,TRUE,FALSE,FALSE,1744 W Estes Ave,CHICAGO,IL,60626.0,,42.0115266178203,-87.6741773360543,TAJ NEIGHBORHOOD GROCERY INC,1744 W ESTES AVE,POINT (-87.6741773360543 42.0115266178203),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Mini  Azteca,2024-11-13,Pass,TRUE,FALSE,FALSE,6924 N Clark St,CHICAGO,IL,60626.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS.",42.0073311926301,-87.6737246511649,MINI AZTECA,6924 N CLARK ST,POINT (-87.6737246511649 42.0073311926301),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Target Store T-3272,2024-07-23,Pass W/ Conditions,FALSE,TRUE,TRUE,6422 N Sheridan Rd,CHICAGO,IL,60626.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE AT THE TIME OF INSPECTION DOES NOT HAVE A CITY OF CHICAGO SANITATION CERTIFICATE. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED - | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO ORIGINAL AND VALID CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE POSTED NOR PROVIDED ON SITE FOR PRESENT MANAGER ON DUTY. INSTRUCTED TO PROVIDE. A LEAST ONE CERTIFIED FOOD MANAGER MUST BE ON SITE WHEN FOOD IS HANDLED, AT STARBUCKS. PRIORITY FOUNDATION: 7-38-012, CITATION ISSUED. | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: INTERIOR OF ICE MACHINE COMPARTMENTS NOT CLEAN (INTERIOR TOP AND BIN). ICE IS USED FOR HUMAN CONSUMPTION. INSTRUCTED TO CLEAN, SANITIZE AND MAINTAIN UNIT. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: SOME DEBRIS BEHIND THE SHELF IN REAR STORAGE AREA. CLEAN AND MAINTAIN",41.9988587841571,-87.6607839260903,TARGET STORE T3272,6422 N SHERIDAN RD,POINT (-87.6607839260903 41.9988587841571),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Greenview Rogers Park,2024-07-03,Pass,TRUE,FALSE,FALSE,7575 N Rogers Ave,CHICAGO,IL,60626.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: REMOVE DEAD INSECTS BY THE WINDOW LEDGE BEHIND COOLERS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS, THROUGHOUT. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: DEBRIS ON FLOOR UNDER AND BEHIND COOLER UNITS ALSO THROUGHOUT THE REAR STORAGE AND DISHROOM AREA . CLEAN AND MAINTAIN",42.0191646249703,-87.6683972880009,GREENVIEW ROGERS PARK,7575 N ROGERS AVE,POINT (-87.6683972880009 42.0191646249703),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Copos De Nieve,2024-05-29,Out Of Business,TRUE,FALSE,FALSE,6511 N Clark St,CHICAGO,IL,60626.0,,42.0002599973305,-87.6711926364393,COPOS DE NIEVE,6511 N CLARK ST,POINT (-87.6711926364393 42.0002599973305),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Exotic Snacks And Drinks,2024-05-14,Not Ready,TRUE,FALSE,FALSE,6560 N Sheridan Rd,CHICAGO,IL,60626.0,,42.0018424524219,-87.6609027616907,EXOTIC SNACKS AND DRINKS,6560 N SHERIDAN RD,POINT (-87.6609027616907 42.0018424524219),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
