DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
American Deli & Grocery Inc.,2022-01-13,Pass W/ Conditions,TRUE,FALSE,FALSE,600 E 103Rd St,CHICAGO,IL,60628.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY AVAILABLE. INSTRUCTED MANAGER TO PROVIDE SIGNED ACKNOWLEDGEMENT OF EMPLOYEE RESPONSIBILITY TO REPORT ANY ILLNESS TRANSMISSIBLE THROUGH FOOD. PRIORITY FOUNDATION 7-38-010 | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED NO DRAINBOARD FOR 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROVIDE DRAINBOARD FOR UTENSIL HOLDING BEFORE CLEANING AND AFTER SANITIZING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNUSED ARTICLES AND EQUIPMENT IN REAR STORAGE AND CLOSET AREAS. INSTRUCTED MANAGER TO REMOVE ALL UNNECESSARY ITEMS TO PREVENT PEST HARBORAGE. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED NO SIGNAGE REQUIRING MASK. INSTRUCTED MANAGER TO POST MASK REQUIREMENT SIGNAGE UPON ENTRY AND INSIDE PREMISES.",41.707500278012900,-87.6088226613322,AMERICAN DELI GROCERY INC,600 E 103RD ST,POINT (-87.6088226613322 41.707500278012894),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Max Food,2019-05-14,Pass W/ Conditions,TRUE,FALSE,FALSE,9444 S Lafayette Ave,CHICAGO,IL,60620.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS ON SITE. INSTRUCTED TO IMPLEMENT A PROCEDURE AND PROVIDE ALL NECESSARY SUPPLIES FOR HANDLING THESE EVENTS. PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FRONT DOORS NOT RODENT/INSECT PROOFED. INSTRUCTED TO RODENT/INSECT PROOF EITHER ONE OR BOTH FRONT DOORS. MAINTAIN SAME. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: RUSTY RACKS INSIDE THE WALK IN COOLER. INSTRUCTED TO REMOVE RUST OR REPLACE RACKS. MAINTAIN SAME. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: DAMAGED FLOOR TILES IN THE SALES AREA. INSTRUCTED TO REPLACE.  -OPENINGS IN THE WALLS BEHIND THE FRONT COUNTER. MUST SEAL.   -PEELING PAINT IN THE WALK IN COOLER AND ON THE WALK IN COOLER DOOR. INSTRUCTED TO SCRAPE AND REPAINT.",41.7221175471992,-87.6252059014379,MAX FOOD,9444 S LAFAYETTE AVE,POINT (-87.6252059014379 41.7221175471992),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
"Adam'S Grocery, Inc",2018-10-05,Pass W/ Conditions,TRUE,FALSE,FALSE,11227 S Michigan Ave,CHICAGO,IL,60628.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments:  2-102.14(N) OBSERVED NO EMPLOYEE HEALTH POLICY AVAILABLE. INSTRUCTED MANAGER TO PROVIDE EMPLOYEE HEALTH POLICY. PRIORITY FOUNDATION VIOLATION 7-38-012(A) | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  2-501.11 OBSERVED NO CLEAN UP POLICY FOR VOMITING OR DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE CLEAN UP POLICY. PRIORITY FOUNDATION VIOLATION 7-38-005 | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-204.12 OBSERVED NO BACK FLOW DEVICE ON UTILITY SINK. INSTRUCTED TO INSTALL SO IT CAN BE LOCATED TO BE SERVICED AND MAINTAINED.",41.689935556623,-87.6208701308957,ADAMS GROCERY INC,11227 S MICHIGAN AVE,POINT (-87.6208701308957 41.689935556623),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Timezsquare,2023-02-02,Pass,TRUE,FALSE,FALSE,10857 S Halsted St,CHICAGO,IL,60628.0,,41.6962007604687,-87.6423527773208,TIMEZSQUARE,10857 S HALSTED ST,POINT (-87.6423527773208 41.6962007604687),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Grocery Basket,2022-10-04,Pass,TRUE,FALSE,FALSE,351 E 103Rd St,CHICAGO,IL,60628.0,,41.707198540794,-87.6141625937406,GROCERY BASKET,351 E 103RD ST,POINT (-87.6141625937406 41.707198540794),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
111Th Street Super Save,2020-04-20,Pass,TRUE,FALSE,FALSE,11100 S State St,CHICAGO,IL,60628.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SINK IN REAR 3- COMPARTMENT SINK REAR AREA. INSTRUCTED TO INSTALL TO CITY PLUMBING WITH SOAP AND TOWEL DEVICE. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments:  OBSERVED NO THERMOMETER INSIDE NONE OF THE COOLERS. INSTRUCTED TO PROVIDE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DISPLAY POP SHELVES,SHELVES BEHIND FRONT COUNTER NOT CLEAN OF DEBRIS. INSTRUCTED TO CLEAN/MAINTAIN",41.6925370419344,-87.6232492652983,111TH STREET SUPER SAVE,11100 S STATE ST,POINT (-87.6232492652983 41.6925370419344),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
"O & M Food & Meat Mart, Inc",2012-09-25,Pass,FALSE,TRUE,FALSE,11418 S Michigan Ave,CHICAGO,IL,60628.0,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: REPLACE MISSING FLOOR TILES IN REAR.   | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: REPLACE STAINED CEILING TILES IN SALES AREA AND MISSING CEILING TILES IN REAR. REPAIR WALL IN REAR WASHROOM.",41.6864220135538,-87.6210163939257,O M FOOD MEAT MART INC,11418 S MICHIGAN AVE,POINT (-87.6210163939257 41.6864220135538),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
"B & G Heinz Pharmacy, Inc",2023-01-18,Out Of Business,TRUE,FALSE,FALSE,559 W 103Rd St,CHICAGO,IL,60628.0,,41.7068710903942,-87.6379138185128,B G HEINZ PHARMACY INC,559 W 103RD ST,POINT (-87.6379138185128 41.7068710903942),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Discount Stop Inc.,2021-08-11,Out Of Business,TRUE,FALSE,FALSE,11205 S Michigan Ave,CHICAGO,IL,60628.0,,41.6906248806269,-87.620878464294,DISCOUNT STOP INC,11205 S MICHIGAN AVE,POINT (-87.620878464294 41.6906248806269),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Kensington Grocery,2020-07-22,Out Of Business,TRUE,FALSE,FALSE,11461 S Front Ave Bldg,CHICAGO,IL,60628.0,,41.6855032985719,-87.6123460472047,KENSINGTON GROCERY,11461 S FRONT AVE BLDG,POINT (-87.6123460472047 41.6855032985719),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
