DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Colfax Mart,2024-12-17,Pass,TRUE,FALSE,FALSE,2554 E 83Rd St,CHICAGO,IL,60617.0,,41.7446321590225,-87.5614927640038,COLFAX MART,2554 E 83RD ST,POINT (-87.5614927640038 41.7446321590225),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Francisco Espinoza,2024-10-22,Pass,TRUE,FALSE,FALSE,8827 S Escanaba Ave,CHICAGO,IL,60617.0,,41.73469613091990,-87.5539906943642,FRANCISCO ESPINOZA,8827 S ESCANABA AVE,POINT (-87.5539906943642 41.73469613091991),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Cecy'S Molino De Masa,2024-04-11,Pass,TRUE,FALSE,FALSE,8544  -08546 S Commercial Ave,CHICAGO,IL,60617.0,,41.739684595079,-87.5516208151815,CECYS MOLINO DE MASA,8544 08546 S COMMERCIAL AVE,POINT (-87.5516208151815 41.739684595079),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Liquidations R Us,2023-05-05,Pass,TRUE,FALSE,FALSE,2633 E 79Th St,CHICAGO,IL,60649.0,,41.7517026582938,-87.560154364307,LIQUIDATIONS R US,2633 E 79TH ST,POINT (-87.560154364307 41.7517026582938),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
83Rd Street Grocery,2016-08-11,Pass,TRUE,FALSE,FALSE,8357 S Buffalo Ave,CHICAGO,IL,60617.0,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS NEED CLEANING ALONG THE WALL BASE AND IN CORNERS TO REMOVE DEBRIS. ALSO NOTED OPENINGS INTO THE FLOOR BASE. MUST SEAL ALL OPENINGS TO PREVENT ENTRY POINTS FOR PESTS.",41.7430796625925,-87.5440860566307,83RD STREET GROCERY,8357 S BUFFALO AVE,POINT (-87.5440860566307 41.7430796625925),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
On The Go Grocery,2011-12-02,Pass,TRUE,FALSE,FALSE,1959 E 79Th St,CHICAGO,IL,60649.0,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned.    LARGE HOLES IN THE WALLS IN THE REAR AREA AND CEILING IN THE FURNACE ROOM.  INSTRUCTED TO SEAL ALL THE HOLES IN THE WALLS AND CEILINGS THROUGHOUT SO NO RODENT HARBORAGE.",41.7514956784384,-87.5760406941202,ON THE GO GROCERY,1959 E 79TH ST,POINT (-87.5760406941202 41.7514956784384),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
K & M Fd. Inc,2011-10-19,Pass,TRUE,FALSE,FALSE,1723 E 79Th St,CHICAGO,IL,60649.0,,41.7514226610304,-87.5818807559441,K M FD INC,1723 E 79TH ST,POINT (-87.5818807559441 41.7514226610304),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Rock & Joe Food,2019-12-27,Out Of Business,TRUE,FALSE,FALSE,2301 E 83Rd St,CHICAGO,IL,60617.0,,41.74432118670250,-87.5684930884813,ROCK JOE FOOD,2301 E 83RD ST,POINT (-87.5684930884813 41.74432118670249),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
"Roxie'S Food No. 2, Inc",2018-06-22,Out Of Business,TRUE,FALSE,FALSE,8027 S Exchange Ave,CHICAGO,IL,60617.0,,41.7492611536206,-87.5527024450419,ROXIES FOOD NO 2 INC,8027 S EXCHANGE AVE,POINT (-87.5527024450419 41.7492611536206),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
J & J Meat Co,2016-08-30,Out Of Business,TRUE,FALSE,FALSE,2901 E 79Th St,CHICAGO,IL,60649.0,,41.7517858851858,-87.5540107270326,J J MEAT CO,2901 E 79TH ST,POINT (-87.5540107270326 41.7517858851858),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Health Food,2016-08-18,Out Of Business,TRUE,FALSE,FALSE,8949 S Commercial Ave,CHICAGO,IL,60617.0,,41.7322794326914,-87.5511593601904,HEALTH FOOD,8949 S COMMERCIAL AVE,POINT (-87.5511593601904 41.7322794326914),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Ray'S Food Inc.,2016-08-11,Out Of Business,TRUE,FALSE,FALSE,8701 S Marquette Ave,CHICAGO,IL,60617.0,,41.7372071045411,-87.5582058513668,RAYS FOOD INC,8701 S MARQUETTE AVE,POINT (-87.5582058513668 41.7372071045411),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Clyde Quaility Food,2015-12-10,Out Of Business,TRUE,FALSE,FALSE,2047 E 79Th St,CHICAGO,IL,60649.0,,41.7515206221974,-87.574109121294,CLYDE QUAILITY FOOD,2047 E 79TH ST,POINT (-87.574109121294 41.7515206221974),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Tres Hermanos,2013-09-16,Out Of Business,TRUE,FALSE,FALSE,3126 E 91St St,CHICAGO,IL,60617.0,,41.7302281137645,-87.5473991040511,TRES HERMANOS,3126 E 91ST ST,POINT (-87.5473991040511 41.7302281137645),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
