DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
La Feria Grocery,2025-01-06,Pass,FALSE,TRUE,FALSE,9704 S Commercial Ave,CHICAGO,IL,60617.0,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN AT REAR HAND WASHING SINK. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGNS AT ALL HAND WASHING SINKS USED BY EMPLOYEES.,41.7189121563474,-87.5511742971593,LA FERIA GROCERY,9704 S COMMERCIAL AVE,POINT (-87.5511742971593 41.7189121563474),50.0,SOUTH DEERING,303797059.66,51.0,51.0,80389.8718002,,
"Mana Discount, Inc.",2016-10-17,Pass,TRUE,FALSE,FALSE,9531 S Jeffery Ave,CHICAGO,IL,60617.0,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS NEED DETAIL CLEANING THROUGH OUT UNDERNEATH DISPLAY SHELVING AND THROUGH OUT REAR STORAGE AREA TO REMOVE SPILLS AND DEBRIS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: NOTED A FEW WATER STAINED AND DAMANGED CEILING TILES IN THE FRONT AND REAR STORAGE AREAS. MUST REPLACE AND MAINTAIN.",41.721499512947,-87.5751864229168,MANA DISCOUNT INC,9531 S JEFFERY AVE,POINT (-87.5751864229168 41.721499512947),50.0,SOUTH DEERING,303797059.66,51.0,51.0,80389.8718002,,
Marathon,2015-07-08,Pass,TRUE,FALSE,FALSE,1835-53 E 95Th St,CHICAGO,IL,60617.0,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN THE VENTS IN THE WASHROOM AREA",41.7223152188603,-87.5788543234023,MARATHON,183553 E 95TH ST,POINT (-87.5788543234023 41.7223152188603),50.0,SOUTH DEERING,303797059.66,51.0,51.0,80389.8718002,,
Bamenda Fresh On Jeffery,2023-07-18,Out Of Business,TRUE,FALSE,FALSE,9553-9557 S Jeffery Ave,CHICAGO,IL,60617.0,,41.720853484203300,-87.5751721366221,BAMENDA FRESH ON JEFFERY,95539557 S JEFFERY AVE,POINT (-87.5751721366221 41.720853484203296),50.0,SOUTH DEERING,303797059.66,51.0,51.0,80389.8718002,,
The Corner Mart,2023-06-15,Out Of Business,TRUE,FALSE,FALSE,2501 E 106Th St,CHICAGO,IL,60617.0,,41.702656739070900,-87.5631671747605,THE CORNER MART,2501 E 106TH ST,POINT (-87.5631671747605 41.702656739070896),50.0,SOUTH DEERING,303797059.66,51.0,51.0,80389.8718002,,
Grocery Momax,2021-12-10,Out Of Business,TRUE,FALSE,FALSE,10203 S Commercial Ave,CHICAGO,IL,60617.0,,41.70984922754,-87.5521675655667,GROCERY MOMAX,10203 S COMMERCIAL AVE,POINT (-87.5521675655667 41.70984922754),50.0,SOUTH DEERING,303797059.66,51.0,51.0,80389.8718002,,
South Deering Food,2019-08-28,Out Of Business,TRUE,FALSE,FALSE,10600 S Torrence Ave,CHICAGO,IL,60617.0,,41.7026858266408,-87.5597477071765,SOUTH DEERING FOOD,10600 S TORRENCE AVE,POINT (-87.5597477071765 41.7026858266408),50.0,SOUTH DEERING,303797059.66,51.0,51.0,80389.8718002,,
Rbo Llc,2017-02-28,Out Of Business,TRUE,FALSE,FALSE,1601-1611 E 95Th St,CHICAGO,IL,60617.0,,41.7222299253788,-87.5850015493603,RBO LLC,16011611 E 95TH ST,POINT (-87.5850015493603 41.7222299253788),50.0,SOUTH DEERING,303797059.66,51.0,51.0,80389.8718002,,
"El Selecto Products, L.L.C.",2016-08-15,Out Of Business,TRUE,FALSE,FALSE,10532 S Torrence Ave,CHICAGO,IL,60617.0,,41.7035950061973,-87.5597619273037,EL SELECTO PRODUCTS LLC,10532 S TORRENCE AVE,POINT (-87.5597619273037 41.7035950061973),50.0,SOUTH DEERING,303797059.66,51.0,51.0,80389.8718002,,
Downtown Marathon,2015-07-08,Out Of Business,TRUE,FALSE,FALSE,1835 E 95Th St,CHICAGO,IL,60617.0,,41.7223152188603,-87.5788543234023,DOWNTOWN MARATHON,1835 E 95TH ST,POINT (-87.5788543234023 41.7223152188603),50.0,SOUTH DEERING,303797059.66,51.0,51.0,80389.8718002,,
