DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Andrea'S Grocery Inc.,2022-08-17,Pass W/ Conditions,FALSE,TRUE,FALSE,2800 S Drake Ave,CHICAGO,IL,60623.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO VALID CITY OF CHICAGO MANAGER CERTIFICATION PROVIDED ON SITE. PERSON IN CHARGE MUST BE PRESENT WITH A VALID CITY OF CHICAGO MANAGER CERTIFICATION DURING ALL HOURS OF OPERATION. PRIORITY FOUNDATION VIOLATION 7-38-012 CITATION ISSUED. | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO WRITTEN EMPLOYEE HEALTH PROLICES PROVIDED ON SITE. FACILITY MUST PROVIDE ALL WRITTEN HEALTH POLICES ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED DUE TO LAST HEALTH INSPECTION CONDUCTED ON 12/12/2014 BEFORE THE 2017 FDA FOOD CODE WAS UPDATED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE OR SPILL KIT FOUND ON SITE FOR VOMITING AND DIARRHEAL EVENTS. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED DUE TO LAST HEALTH INSPECTION CONDUCTED ON 12/12/2014 BEFORE THE 2017 FDA FOOD CODE WAS UPDATED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FRONT DOORWAY WITH LESS THAN HALF AN INCH OF A GAP. DOOR MUST HAVE A FIT SEAL TO PREVENT ANY INSECT/RODENT ACTIVITY.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: CARDBOARD USED AS LINING ON SHELVES THROUGHOUT THE PREMISES. FACILITY MUST PROVIDE A SMOOTH AND EASILY CLEANABLE SURFACE THAT IS NON-ABSORBENT. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO FOOD HANDLER CERTIFICATIONS PROVIDED ON SITE. FACILITY MUST PROVIDE VALID FOOD HANDLER CERTIFICATIONS.",41.840645792861300,-87.713616432956,ANDREAS GROCERY INC,2800 S DRAKE AVE,POINT (-87.713616432956 41.840645792861295),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
Manrras Grocery,2022-06-29,Pass W/ Conditions,FALSE,TRUE,FALSE,3132 W 25Th St,CHICAGO,IL,60623.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEAL CLEAN UP PROCEDURE ON PREMISES AS REQUIRED; MUST PROVIDE. INSTRUCTED THE PERSON IN CHARGE THAT A VOMIT AND DIARRHEA CLEAN UP PROCEDURE MUST BE DOCUMENTED AND THE NECESSARY SUPPLIES ON HAND IN THE EVENT OF A VOMIT AND DIARRHEAL INCIDENT ON PREMISES. PRIORITY FOUNDATION VIOLATION 7-38-005.,41.8464606639961,-87.7038037640727,MANRRAS GROCERY,3132 W 25TH ST,POINT (-87.7038037640727 41.8464606639961),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
Lupita'S Grocery,2020-05-20,Pass W/ Conditions,FALSE,TRUE,FALSE,2401 S Christiana Ave,CHICAGO,IL,60623.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-302.12 OBSERVED NO THERMOMETER ON SITE TO TAKE FOOD TEMPERATURES. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-005.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 OBSERVED A COVERED RECEPTACLE IS NEEDED INSIDE OF THE TOILET ROOM. INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 OBSERVED THE REAR OF THE FACILITY WITH ACCUMULATED CLUTTER. INSTRUCTED TO ORGANIZE.",41.8480050897752,-87.7086481220759,LUPITAS GROCERY,2401 S CHRISTIANA AVE,POINT (-87.7086481220759 41.8480050897752),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
La Merced Inc,2024-12-17,Pass,TRUE,FALSE,FALSE,4335 W 26Th St,CHICAGO,IL,60623.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED A RESIDUE OF SOME SORT BUILD UP ON THE SHELVING IN THE LARGE WALK IN MEAT COOLING UNIT.  INSTRUCTED TO CLEAN AND MAINTAIN AS A MEANS OF PREVENTING POSSIBLE CONTAMINATION OF THE FOODS BEING STORED IN UNIT.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE DEEP FREEZER UNITS IN THE REAR STORAGE FACITLITY WITH A BUILD UP OF FOOD DEBRIS ON THE TOP OF THE UNIT. INSTRUCTED TO CLEAN AND MAINTAIN UNITS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE WALLS AND FLOOR IN THE FRONT FOOD SERVICE AREA WITH A BUILD UP OF GREASE ON THE WALLS AND FLOOR UNDER EQUIPMENT ALONG THE WALL AREA.  ALSO OBSERVED A HEAVY BUILD UP OF DIRT, DEBRIS AND FOOD DEBRIS ON THE FLOOR IN THE REAR STORAGE AREA NEAR THE REAR EXIT DOOR.  INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS AS A MEANS OF PREVETING POSSIBLE PEST AND OR INSECT ACTIVITY.",41.8440327965074,-87.73243286472,LA MERCED INC,4335 W 26TH ST,POINT (-87.73243286472 41.8440327965074),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
Supermercado Guerrero,2024-11-12,Pass,FALSE,TRUE,FALSE,3100 W Cermak Rd,CHICAGO,IL,60623.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED FROZEN MEAT STORED IN GROCERY BAGS IN THE FREEZER. MANAGEMENT INSTRUCTED TO USE PROPER FOOD-GRADE STORAGE BAGS AND CONTAINERS ONLY. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED A LEAK AT FAUCET ON THREE COMPARTMENT SINK.  INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE GREASE BUILD-UP ON GREASE TRAP AT THREE COMPARTMENT SINK.  INSTRUCTED TO CLEAN AND MAINTAIN.",41.851908367483100,-87.7028759889965,SUPERMERCADO GUERRERO,3100 W CERMAK RD,POINT (-87.7028759889965 41.851908367483105),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
Supermercado Antonio'S Corp.,2024-11-05,Pass,TRUE,FALSE,FALSE,2656 S Homan,CHICAGO,IL,60623.0,,41.8427686092756,-87.7100127232431,SUPERMERCADO ANTONIOS CORP,2656 S HOMAN,POINT (-87.7100127232431 41.8427686092756),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
La Plazuelita,2024-10-21,Pass,TRUE,FALSE,FALSE,3055 S Tripp Ave,CHICAGO,IL,60623.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN PROCEDURE POSTED ON SITE OR NECESSARY ITEMS OUTLINED IN POLICY FOR RESPONDING TO VOMIT AND DIAARHEAL EVENTS THAT CAN OCCUR IN THE ESTABLISHMENT. INSTRUCTED TO PROVIDE AND MAINTAIN ON-SITE. PRIORITY FOUNDATION VIOLATION. #7-38-005. NO CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOPS STORED IMPROPERLY NEAR THE MOP SINK INSIDE THE BUCKET. INSTRUCTED TO HANG FOR PROPER DRYING AND PREVENTION OF PEST HARBORING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNNECESSARY ITEMS STORED ON FLOORS IN THE REAR FACILITY WHERE SHELVING UNITS ARE IN PLACE. INSTRUCTED TO ORGANIZE AND ELEVATE ALL ITEMS AT LEAST 6 INCHES OFF THE FLOOR.",41.8370215610786,-87.7302855261612,LA PLAZUELITA,3055 S TRIPP AVE,POINT (-87.7302855261612 41.8370215610786),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
"El Vaso Loko, Inc.",2022-12-12,Pass,TRUE,FALSE,FALSE,3751 W 26Th St,CHICAGO,IL,60623.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ITEMS STORED ON FLOOR THROUGHOUT FACILITY (SALES FLOOR, REAR DRY STORAGE). INSTRUCTED PERSON IN CHARGE TO ORGANIZE ITEMS AND MAINTAIN AT LEAST SIX INCHES FROM FLOOR AT ALL TIMES. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED NO ALLERGEN TRAINING CERTIFICATE ON SITE FOR CERTIFIED MANAGER. INSTRUCTED PIC THAT ALL CERTIFIED MANAGERS MUST OBTAIN ALLERGEN TRAINING AND RETAIN CERTIFICATES ON SITE.",41.8442102986562,-87.7192730390528,EL VASO LOKO INC,3751 W 26TH ST,POINT (-87.7192730390528 41.8442102986562),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
Zona Tipica Llc,2022-03-22,Pass,TRUE,FALSE,FALSE,3348 W 25Th St,CHICAGO,IL,60623.0,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NO BACKFLOW DEVICE FOUND ON THE UTILITY SINK; MUST INSTALL A BACKFLOW DEVICE ON UTILITY SINK. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO SELF CLOSING DEVICE ON WASHROOM DOOR; MUST INSTALL A SELF CLOSING DEVICE ON WASHROOM DOOR.",41.846376346421300,-87.7094815921204,ZONA TIPICA LLC,3348 W 25TH ST,POINT (-87.7094815921204 41.846376346421295),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
El Milagro,2021-10-08,Pass,TRUE,FALSE,FALSE,3048 W 26Th St,CHICAGO,IL,60623.0,,41.8446873273626,-87.7021029360244,EL MILAGRO,3048 W 26TH ST,POINT (-87.7021029360244 41.8446873273626),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
