DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Jeffrey Mart,2021-05-28,Pass W/ Conditions,TRUE,FALSE,FALSE,6701 S Jeffery Blvd,CHICAGO,IL,60649.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN UP PROCEDURE ON PREMISES AS REQUIRED; MUST PROVIDE.  INSTRUCTED THE PERSON IN CHARGE THAT A VOMIT AND DIARRHEA CLEAN UP PROCEDURE MUST BE DOCUMENTED AND THE NECESSARY SUPPLIES ON HAND IN THE EVENT OF A VOMIT AND DIARRHEAL INCIDENT ON PREMISES.  PRIORITY FOUNDATION VIOLATION 7-38-005. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN THE STORAGE SHELVES INSIDE OF THE WALK-IN COOLER AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN FLOORS IN WASHOOMS AND INSIDE OF THE WALK-IN COOLER. INSTRUCTED TO CLEAN THE VENTILATION FAN ON WASHROOM CEILING TO REMOVE DUST OBSERVED. INSTRUCTED TO CLEAN AND MAINTAIN THE INTERIOR OF THE MOP SINK IN REAR STORAGE AREA.",41.7733602195796,-87.5763454886558,JEFFREY MART,6701 S JEFFERY BLVD,POINT (-87.5763454886558 41.7733602195796),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Big Salem Inc,2024-12-16,Pass,TRUE,FALSE,FALSE,1724 E 71St St,CHICAGO,IL,60649.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST ON THE FAN COVERS IN THE WALK-IN COOLER; INSTRUCTED TO CLEAN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WALL COVING IN POOR REPAIR IN REAR STORAGE AREA; REATTACH WHERE NEEDED.",41.7662859281877,-87.5827342047212,BIG SALEM INC,1724 E 71ST ST,POINT (-87.5827342047212 41.7662859281877),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Midwest,2024-12-05,Pass,TRUE,FALSE,FALSE,1932 E 75Th St,CHICAGO,IL,60649.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: THE FOLLOWING IN NEED OF CLEANING:  SHELVES ON SELLING FLOOR, FAN COVERS INSIDE OF WALK-IN COOLER AND INTERIORS OF REFRIGERATION UNITS AND FREEZERS; CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO SELF CLOSING DEVICE ON WASHROOM DOOR; INSTRUCTED TO INSTALL AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: THE PLUMBING FIXTURES IN THE WASHROOMS NEED CLEANING; INSTRUCTED TO CLEAN TOILETS AND SINKS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN THE FLOORS INSIDE OF THE WALK-IN COOLER, UNDER SHELVES ON THE SELLING FLOOR, BETWEEN EQUIPMENT ON THE SELLING FLOOR, STORAGE AREA AND WASHROOMS.",41.7589735392576,-87.5772991892172,MIDWEST,1932 E 75TH ST,POINT (-87.5772991892172 41.7589735392576),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Manny'S Grocery,2024-12-02,Pass,FALSE,TRUE,FALSE,7627 S Jeffery Blvd,CHICAGO,IL,60649.0,,41.756236797394,-87.5759402030761,MANNYS GROCERY,7627 S JEFFERY BLVD,POINT (-87.5759402030761 41.756236797394),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Evans Food & More,2023-03-09,Pass,TRUE,FALSE,FALSE,1853 E 71St,CHICAGO,IL,60649.0,,41.7659365239009,-87.5793072636678,EVANS FOOD MORE,1853 E 71ST,POINT (-87.5793072636678 41.7659365239009),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Save A Lot,2022-08-29,Pass,TRUE,FALSE,FALSE,7240 S Stony Island Ave,CHICAGO,IL,60649.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  FLOORS NEED DETAIL CLEANIN THROUGH OUT ESPECIALLY ALONG THE WALL BASE AND IN CORNERS TO REMOVE SPILLS AND DEBRIS.",41.7630223653169,-87.5863901618906,SAVE A LOT,7240 S STONY ISLAND AVE,POINT (-87.5863901618906 41.7630223653169),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
3 Smokin' Sisters,2022-03-04,Pass,TRUE,FALSE,FALSE,1729 E 71St St,CHICAGO,IL,60649.0,,41.7659058773077,-87.5825046171454,3 SMOKIN SISTERS,1729 E 71ST ST,POINT (-87.5825046171454 41.7659058773077),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
All Star Fuel And Food,2017-06-23,Pass,TRUE,FALSE,FALSE,2310-2316 E 79Th St,CHICAGO,IL,60649.0,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST CLEAN THE VENTS THROUGHOUT PREMISES OF DUST BULD-UP,INSTRUCTED TO CLEAN AND MAINTAIN AREA",41.7518178018158,-87.5681898904776,ALL STAR FUEL AND FOOD,23102316 E 79TH ST,POINT (-87.5681898904776 41.7518178018158),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Stony Island Mart Inc.,2016-09-26,Pass,TRUE,FALSE,FALSE,7448 S Stony Island Ave,CHICAGO,IL,60649.0,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS NEED CLEANING INSIDE THE WALK IN COOLER AND IN STORAGE AREA UNDERNEATH CRATES TO REMOVE DERIS.",41.7591238148959,-87.586294285414,STONY ISLAND MART INC,7448 S STONY ISLAND AVE,POINT (-87.586294285414 41.7591238148959),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Galaxy Food And Cellular,2016-02-25,Pass,TRUE,FALSE,FALSE,2706 E 75Th St,CHICAGO,IL,60649.0,,41.760094191655700,-87.5584218634309,GALAXY FOOD AND CELLULAR,2706 E 75TH ST,POINT (-87.5584218634309 41.760094191655696),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
