DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Lawrence Food & Deli,2025-04-22,Pass W/ Conditions,TRUE,FALSE,FALSE,1113 W Lawrence Ave,CHICAGO,IL,60640.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO VERIFIABLE EMPLOYEE HEALTH POLICY ON SITE. LEFT TEMPLATE AND INSTRUCTED TO MAINTAIN COPIES OF EMPLOYEE HEALTH POLICY SIGNED BY ALL EMPLOYEES ON SITE AT ALL TIMES. PRIOIRTY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: OBSERVED 1 DELI DISPLAY CASE COOLER MAINTAINING IMPROPER AMBIENT TEMPERATURE OF 51.0F. COOLER TAGGED AND HELD FOR INSPECTION. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN COOLER SO THAT IT MAINTAINS PROPER AMBIENT TEMPERATURE OF 41F OR BELOW. PRIORITY VIOLATION 7-38-005. NO CITATION ISSUED. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER CERTIFICATES ON SITE AT TIME OF INSPECTION. INSTRUCTED ALL FOOD EMPLOYEES MUST COMPLETE FOOD HANDLER TRAINING AND MAINTAIN RECORDS THEREOF ON SITE AT ALL TIMES.",41.9689355714895,-87.6582007180482,LAWRENCE FOOD DELI,1113 W LAWRENCE AVE,POINT (-87.6582007180482 41.9689355714895),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Supermart 4 Food,2020-12-09,Pass W/ Conditions,TRUE,FALSE,FALSE,5035-5037 N Sheridan Rd,CHICAGO,IL,60640.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO VOMIT AND DIARRHEA CLEAN UP POLICY WITH CLEAN UP KIT(SANITIZER APPROVED FOR NOROVIRUS). PRIORITY FOUNDATION. CITATION ISSUED.7-38-005. MUST PROVIDE.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FOUND SIDE EXIT DOOR NOT RODENT PROOFED(1/2 INCH GAP AT BOTTOM)MUST SEAL.",41.9743504968193,-87.6548104872569,SUPERMART 4 FOOD,50355037 N SHERIDAN RD,POINT (-87.6548104872569 41.9743504968193),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Provisions Uptown,2020-05-15,Pass W/ Conditions,TRUE,FALSE,FALSE,4812 N Broadway,CHICAGO,IL,60640.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO VOMIT AND DIARRHEAL CLEANUP PROCEDURE/VOMIT SPILL KIT.PRIORITY FOUNDATION. NO CITATION ISSUED.7-38-005. MUST PROVIDE.,41.969412184535,-87.6598279791039,PROVISIONS UPTOWN,4812 N BROADWAY,POINT (-87.6598279791039 41.969412184535),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Lucky Quick Pick,2015-01-16,Pass W/ Conditions,TRUE,FALSE,FALSE,5001 N Broadway,CHICAGO,IL,60640.0,70. NO SMOKING REGULATIONS - Comments: OBSERVED A METAL TIN BEING USED AS AN ASHTRAY (6 USED CIGARETTE BUTTS AND ASHES INSIDE) ON THE REAR STORAGE RACK NEAR THE THREE COMPARTMENT SINK. FACILITY DISPOSED OF IMMEDIATELY. INSTRUCTED FACILITY THAT SMOKING IS PROHIBITED ON SITE AS WELL AS ASHTRAYS. CITATION ISSUED 7-32-020(C)-1ST VIOLATION.,41.9732674733167,-87.659637000951,LUCKY QUICK PICK,5001 N BROADWAY,POINT (-87.659637000951 41.9732674733167),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Uptown Food,2024-09-04,Pass,TRUE,FALSE,FALSE,4661 N Broadway,CHICAGO,IL,60640.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11  OBSERVED RUST ON THE WIRE STORAGE RACK INSIDE THE WALK-IN COOLER.INSTRUCTED TO REMOVE RUSTS AND REPAINT OR REPLACE THE SHELVES AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.17  OBSERVED PEELING PAINT DEBRIS ON SECTION OF CEILING DIRECTLY ABOVE THE JANITORS CLOSET LOCATED IN THE REAR STORAGE ROOM.MUST REPAIR SO THAT CEILING IS SMOOTH,EASILY CLEANABLE SURFACE AND MAINTAIN.",41.9669887759766,-87.6583251490448,UPTOWN FOOD,4661 N BROADWAY,POINT (-87.6583251490448 41.9669887759766),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Food Town One Inc.,2024-03-26,Pass,TRUE,FALSE,FALSE,4401 N Hazel St,CHICAGO,IL,60640.0,"48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: 4-301.12  INSTRUCTED TO PROVIDE 3 WORKING DRAIN STOPPERS FOR 3 COMPARTMENT SINK IN REAR DISHWASHING AREA. | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: 5-402.12  UNABLE TO LOCATE GREASE TRAP FOR ESTABLISHMENT?S UTENSIL WASHING SINK (3 COMPARTMENT SINK) . INSTRUCTED TO PROVIDE LOCATION OR INSTALL GREASE TRAP. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11  ADDITIONAL CLEANING OF FLOORS ALONG THE WALLS AND IN ALL CORNERS IN BASEMENT STORAGE AREA.  | 58. ALLERGEN TRAINING AS REQUIRED - Comments: 2-102.13  FOUND ONE CERTIFIED FOOD MANAGER WITHOUT ALLERGEN TRAINING CERTIFICATE. INSTRUCTED ANY PERSON WITH CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE MUST HAVE ALLERGEN TRAINING CERTIFICATION.",41.9618584529986,-87.6521824012172,FOOD TOWN ONE INC,4401 N HAZEL ST,POINT (-87.6521824012172 41.9618584529986),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Zemenay Inc.,2022-11-29,Pass,TRUE,FALSE,FALSE,5106 N Broadway,CHICAGO,IL,60640.0,,41.9748054551603,-87.6599746513815,ZEMENAY INC,5106 N BROADWAY,POINT (-87.6599746513815 41.9748054551603),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
J & A Convenient Store,2022-05-11,Pass,TRUE,FALSE,FALSE,1108 W Argyle St,CHICAGO,IL,60640.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN-UP PROCEDURE ON-PREMISES. INSTRUCTED MANAGER MUST PROVIDE A VOMIT AND DIARRHEA CLEAN-UP PROCEDURE WITH ALL NECESSARY ITEMS AS OUTLINED IN THE POLICY ON-PREMISES. PRIORITY FOUNDATION 7-38-005. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOME WATER DAMAGED CEILING TILES ABOVE SHOPPING AISLES. MUST REPLACE ALL WATER DAMAGED CEILING TILES.",41.9733772980193,-87.65815899053,J A CONVENIENT STORE,1108 W ARGYLE ST,POINT (-87.65815899053 41.9733772980193),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
"Argyle Grocery, Inc",2020-04-20,Pass,FALSE,TRUE,FALSE,1131 W Argyle St,CHICAGO,IL,60640.0,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOUND NO FOOD HANDLER TRAINING CERTIFICATE ON PREMISES.MUST PROVIDE FOODHANDLER TRAINING CERTIFICATE DUE TO WASHING AND SANITIZING COFFEE POTS/UTENSILS.,41.9731464382128,-87.6590363284839,ARGYLE GROCERY INC,1131 W ARGYLE ST,POINT (-87.6590363284839 41.9731464382128),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Clark Haus,2017-10-10,Pass,TRUE,FALSE,FALSE,5059 N Clark St,CHICAGO,IL,60640.0,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: HOLES AROUND THE PIPING IN THE CEILING OF THE WASHROOM MUST BE SEALED.",41.9742144800431,-87.6680424655499,CLARK HAUS,5059 N CLARK ST,POINT (-87.6680424655499 41.9742144800431),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
