DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Sam 95 Food Inc,2025-04-23,Pass,TRUE,FALSE,FALSE,1452 W 95Th St,CHICAGO,IL,60643.0,,41.7213568596737,-87.6599616802764,SAM 95 FOOD INC,1452 W 95TH ST,POINT (-87.6599616802764 41.7213568596737),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Edible Arrangements,2024-12-16,Out Of Business,TRUE,FALSE,FALSE,9939 S Halsted St,CHICAGO,IL,60628.0,,41.7130348747209,-87.6428324829542,EDIBLE ARRANGEMENTS,9939 S HALSTED ST,POINT (-87.6428324829542 41.7130348747209),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Halsted9900 Business Inc,2024-11-05,Pass,TRUE,FALSE,FALSE,9900 S Halsted St,CHICAGO,IL,60628.0,,41.714118868089900,-87.6431454081817,HALSTED9900 BUSINESS INC,9900 S HALSTED ST,POINT (-87.6431454081817 41.714118868089905),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Gulf,2024-06-07,Pass,TRUE,FALSE,FALSE,9901 S Halsted St,CHICAGO,IL,60628.0,"45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments:  OBSERVED SINGLE SERVICE UTENSILS STORED ON FLOOR BEHIND FRONT COUNTER. INSTRUCTED MANAGER TO ELEVATE AND INVERT ALL SINGLE SERVICE UTENSILS TO PROTECT FROM CONTAMINATION. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  OBSERVED NO STOPPERS FOR 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROVIDE ADEQUATE STOPPERS AND MAINTAIN.",41.7141256492775,-87.6428525474429,GULF,9901 S HALSTED ST,POINT (-87.6428525474429 41.7141256492775),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
"Main Street Food 103, Inc.",2024-01-22,Pass,TRUE,FALSE,FALSE,10302 S Halsted St,CHICAGO,IL,60628.0,"41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED WIPING CLOTHS BALLED IN A BOWL IN REAR AREA. INSTRUCTED TO PROPERLY AIR DRY WHEN NOT IN USE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED NO BASE COVING IN REAR STORAGE AREA. INSTRUCTED TO ADD BASE COVING TO ALL AREAS WHERE NEEDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNNECESSARY ITEMS IN REAR AREA. INSTRUCTED TO REMOVE PRIOR TO OPENING.",41.7067667936772,-87.6429756437984,MAIN STREET FOOD 103 INC,10302 S HALSTED ST,POINT (-87.6429756437984 41.7067667936772),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
"I 57 Fuel Mart, Inc",2023-10-12,Fail,TRUE,FALSE,FALSE,9901-9909 S Halsted St,CHICAGO,IL,60628.0,,41.7141256492775,-87.6428525474429,I 57 FUEL MART INC,99019909 S HALSTED ST,POINT (-87.6428525474429 41.7141256492775),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Jed'S Fruit & Vegetable Mrk,2023-04-05,Out Of Business,TRUE,FALSE,FALSE,10500 S Halsted St,CHICAGO,IL,60628.0,,41.7031858187162,-87.6428645922105,JEDS FRUIT VEGETABLE MRK,10500 S HALSTED ST,POINT (-87.6428645922105 41.7031858187162),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
1053 W 103Rd Inc,2020-04-23,Out Of Business,TRUE,FALSE,FALSE,1047-1059 W 103Rd St,CHICAGO,IL,60643.0,,41.706746959696300,-87.6495967621356,1053 W 103RD INC,10471059 W 103RD ST,POINT (-87.6495967621356 41.706746959696304),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
"Benin Marche,Inc.",2015-12-22,Out Of Business,TRUE,FALSE,FALSE,10350-10352 S Halsted St,CHICAGO,IL,60628.0,,41.7054099128249,-87.6429347616945,BENIN MARCHEINC,1035010352 S HALSTED ST,POINT (-87.6429347616945 41.7054099128249),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Parnell Food,2012-10-19,Out Of Business,TRUE,FALSE,FALSE,536 W 103Rd St,CHICAGO,IL,60628.0,,41.707101841546,-87.6369943941693,PARNELL FOOD,536 W 103RD ST,POINT (-87.6369943941693 41.707101841546),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Mks Energies Inc,2011-07-29,Pass,TRUE,FALSE,FALSE,1421 W 95Th St,CHICAGO,IL,60643.0,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily.  CLEAN INTERIOR AND EXTERIOR OF ALL COOLERS, FREEZERS, DISPLAY AND STORAGE SHELVES, UTILITY SINK, 3-COMP SINK, CABINETS UNDER BEVERAGE AREA, ETC. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair.  REPLACE DAMAGED FLOOR TILES IN ALL AREAS NEAR UTILITY SINK, BEVERAGE AREA, 3-COMP SINK, STORAGE, ETC.  FLOORS NEED CLEANING UNDER ALL EQUIPMENT , ALONG WALLS AND IN ALL CORNERS IN WALK-IN COOLER, SALES, STORAGE AND WASHROOM AREAS. ELEVATE ALL STOCK OFF FLOOR IN WALK-IN COOLER AND STORAGE AREAS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned.  WALLS NEED REPAIR IN OFFICE WASHROOM, CUSTOMER WASHROOM AND REAR STORAGE AREAS.  SEAL ALL OPENINGS IN WALLS AND CEILINGS AROUND ALL PIPE FITTINGS, ALONG BASEBOARDS, WHERE WALLS AND CEILINGS MEET IN ALL AREAS.  REPLACE ALL MISSING BASEBOARDS.  WALL NEED CLEANING AND PAINTING IN WASHROOM AND STORAGE AREAS. REPLACE ALL STAINED CEILING TILES.  CLEAN ALL CEILING VENTS.  SECURE VENTILATION FAN IN OFFICE WASHROOM. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTALL AN EXPOSED SINK IN BEVERAGE AREA AND AN ATTACHED METAL DRAINBOARD ON 3-COMP SINK. INSTALL SPLASH GUARD BETWEEN UTILITY AND 3-COMP SINK. REMOVE PLUMBERS PUTTY AROUND DRAINS INSIDE 3-COMP SINK. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors.  REMOVE UNUSED EQUIPMENT AND ORGANIZE STORAGE AREAS.  SEPARATE FOOD FROM CLEANING SUPPLIES IN STORAGE AREAS.",41.72115592191,-87.6586010434739,MKS ENERGIES INC,1421 W 95TH ST,POINT (-87.6586010434739 41.72115592191),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
