DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
"Five Nine Food & Groceries, Llc",2021-01-26,Pass W/ Conditions,FALSE,TRUE,FALSE,1434 W 59Th St,CHICAGO,IL,60636.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: O EMPLOYEE HEALTH POLICY ON PREMISES AS REQUIRED; MUST PROVIDE. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE DOCUMENTATION OF EMPLOYEES RESPONSIBILITY TO REPORT ANY ILLNESS TRANSMISSIBLE THROUGH FOOD. PRIORITY FOUNDATION VIOLATION 7-38-010. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE BASEMENT DOOR NOT COMPLETELY RODENT PROOFED AT THE BOTTOM AS REQUIRED; MUST RODENT PROOF DOOR AS REQUIRED TO AVOID RODENT ENTRY. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACK FLOW PREVENTION DEVICE AT UTILITY SINK AS REQUIRED; MUST INSTALL AT UTILITY SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: BSERVED A HOLE IN THE LOWER WALL BY THE GREASE RECEPTOR AT THE THREE COMP SINK; INSTRUCTED TO SEAL HOLE IN WALL. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: INSTRUCTED THAT ALL EMPLOYEES THAT ARE NOT CITY OF CHICAGO FOOD SERVICE MANAGERS MUST OBTAIN THE REQUIRED FOOD HANDLER TRAINING.",41.786907444811700,-87.6609044048142,FIVE NINE FOOD GROCERIES LLC,1434 W 59TH ST,POINT (-87.6609044048142 41.786907444811696),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
M & M Food,2020-04-24,Pass W/ Conditions,TRUE,FALSE,FALSE,1607 W 59Th St,CHICAGO,IL,60636.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MISSING FOOD TEMPERATURE MEASURING DEVICE. INSTD TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION 7-38-005. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: TOILET ROOM WALLS AND DOOR NOT CLEAN. INSTD TO CLEAN AND MAINTAIN.",41.7866316846794,-87.6647023515688,M M FOOD,1607 W 59TH ST,POINT (-87.6647023515688 41.7866316846794),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
M & S Family Food,2025-02-03,Pass,TRUE,FALSE,FALSE,6803 S Ashland Ave,CHICAGO,IL,60636.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A GAP ALONG BOTTOM OF FRONT DOOR & THRESHOLD MUST MAKE DOOR TIGHT FITTING TO PREVENT INSECT ENTRY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST PROVIDE A HOOKING SYSTEM TO HANG UP WET MOPS FROM BUCKETS TO DRY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST SEAL SEVERAL SMALL HOLES IN REAR STORAGE AREA.MUST REPAIR OR REPLACE FRONT WINDOW TRIM AND LEDGES HAVE GAPS & IN POOR REPAIR,LOOSE STAIRCASE LEADING TO BASEMENT.MUST REMOVE EXCESSIVE CAULKING ALONG WALL TRIM OF REAR DOOR TO BE SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ELEVATE,REMOVE OR ORGANIZE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN BASEMENT. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST PROVIDE MECHANICAL VENTILATION IN TOILET ROOM.",41.7702267580187,-87.6638176858767,M S FAMILY FOOD,6803 S ASHLAND AVE,POINT (-87.6638176858767 41.7702267580187),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Marquette Marathon,2024-08-30,Pass,TRUE,FALSE,FALSE,2010 W Marquette Rd,CHICAGO,IL,60636.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED GASKETS AT WALK-IN/DISPLAY COOLER DOORS TO BE IN POOR REPAIR. INSTRUCTED TO REPAIR OR REPLACE WALK-IN/DISPLAY COOLER DOOR GASKETS AND MAINTAIN ALL EQUIPMENT IN GOOD REPAIR AND PROPER ADJUSTMENT. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED REAR AREA HANDWASHING SINK WITH LARGE GAP BETWEEN REAR OF EQUIPMENT AND WALL WITHOUT ADEQUATE SEALING TO PROTECT FROM SPLASH (HANDWASHING SINK FUNCTIONAL). INSTRUCTED TO MAINTAIN ALL EQUIPMENT EXPOSED TO SPLASH OR SPILLAGE SEALED TO ADJOINING WALLS TO PROTECT AGAINST SPLASH AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED 3-COMPARTMENT SINK MISSING DRAIN PLUGS FOR 2 OF 3 BASINS. INSTRUCTED TO PROVIDE DRAIN PLUGS FOR ALL 3 BASINS OF 3-COMPARTMENT SINK AND MAINTAIN ON-SITE AND IN GOOD REPAIR AT ALL TIMES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP HEAD STORED DIRECTLY ON FLOOR WHILE DRYING IN THE REAR UTILITY SINK AREA. INSTRUCTED TO RELOCATE MOP AND STORE MOP HEADS SUCH THAT THEY DO NOT CONTAMINATE FLOORS, WALLS, OR OTHER PHYSICAL FACILITIES WHILE DRYING AND MAINTAIN.",41.7721809446803,-87.6741978345339,MARQUETTE MARATHON,2010 W MARQUETTE RD,POINT (-87.6741978345339 41.7721809446803),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Yuby,2023-07-14,Pass,TRUE,FALSE,FALSE,1825 W 59Th St,CHICAGO,IL,60636.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETERS INSIDE COOLERS OR FREEZERS. MUST PROVIDE AND MAINTAIN AS REQUIRED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FRONT DOOR WITH A 1/4"" GAP AT THE BOTTOM. MUST PROVIDE A WEARTH STRIP AT THE BOTTOM TO PREVENT ENTRY POINT FOR PEST. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED MANAGER TO PROVIDE A GARBAGE CAN IN THE WASHROOM WITH A LID AS REQUIRED.",41.786564006417,-87.6702389810115,YUBY,1825 W 59TH ST,POINT (-87.6702389810115 41.786564006417),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Mali Mart Inc,2018-01-05,Pass,TRUE,FALSE,FALSE,1659 W 69Th St,CHICAGO,IL,60636.0,,41.768414689576,-87.6662829346828,MALI MART INC,1659 W 69TH ST,POINT (-87.6662829346828 41.768414689576),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
K & B Fuel,2017-02-10,Pass,TRUE,FALSE,FALSE,6700 S Ashland Ave,CHICAGO,IL,60636.0,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments:   REPLACE ALL STAINED CHIP TRAYS ON SALES FLOOR. PAINT OR REPLACE ALL RUSTY SHELVING ON SALES FLOOR.  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments:  CLEAN THE FOLLOWING: ALL STORAGE AND DISPLAY SHELVES THROUGHOUT, ALL STORAGE RACKS AND PLASTIC RACKS INSIDE WALK-IN COOLER, INTERIOR OF WALK-IN COOLER(INCLUDING THE COILS AND EXTERIOR OF THE CONDENSER). | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS THROUGHOUT THE WALLS, IN CORNERS, UNDERNEATH DETAIL AND BEHIND ALL HEAVY EQUIPMENT. ALONG THE BASES OF THE WALLS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments:  CLEAN DIRT AND STAINS FROM WALLS AND DOORS THROUGHOUT WHERE PRESENT. SEAL LOOSE WALL COVE IN REAR STORAGE/DISH WASHING AREA. REPLACE STAINED CEILING TILE(S) WHERE PRESENT.",41.7720982327801,-87.6641646175957,K B FUEL,6700 S ASHLAND AVE,POINT (-87.6641646175957 41.7720982327801),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
"Maga Warehouse, Inc",2016-12-15,Pass,TRUE,FALSE,FALSE,7311 S Ashland Ave,CHICAGO,IL,60636.0,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST PAINT OR COVER THE EXPOSED WOOD PLATFORM WITH A SMOOTH AND EASILY CLEANABLE SURFACE.",41.7609122508864,-87.6635339504661,MAGA WAREHOUSE INC,7311 S ASHLAND AVE,POINT (-87.6635339504661 41.7609122508864),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Marathon,2016-08-31,Pass,TRUE,FALSE,FALSE,1212 - 1224 W 59Th St,CHICAGO,IL,60636.0,38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: THE VENTILATION FANS IN THE WASHROOMS ARE NOT OPERATIONAL.  MUST REPAIR OR REPLACE THE FANS.,41.7869869983512,-87.6552954618445,MARATHON,1212 1224 W 59TH ST,POINT (-87.6552954618445 41.7869869983512),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Sufwan Laundries,2016-05-09,Pass,TRUE,FALSE,FALSE,1951 W Marquette Rd,CHICAGO,IL,60636.0,"41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: REMOVE EXCESS CLUTTER FROM REAR STORAGE ROOM, LAUNDRY AREA, BEHIND FRONT COUNTER AND IN WALK-IN COOLER.  STORE REMAINING ITEMS 6"" OFF OF THE FLOOR AND 6"" AWAY FROM THE WALLS.",41.7719710503471,-87.6733161267566,SUFWAN LAUNDRIES,1951 W MARQUETTE RD,POINT (-87.6733161267566 41.7719710503471),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
