DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Ecuabariedades Cazho,2025-01-14,Pass W/ Conditions,TRUE,FALSE,FALSE,16 S Kostner,CHICAGO,IL,60624.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN PROCEDURE POSTED ON SITE OR NECESSARY ITEMS AVAILABLE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEAL EVENTS THAT CAN OCCUR IN THE ESTABLISHMENT. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AT WASHBOWL INSIDE HANDSINK. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NO MOP/UTILITY SINK AVAILABLE ON SITE. INSTRUCTED TO PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED TO PROVIDE RECEPTACLE WITH LID FOR UNISEX TOILET ROOM.",41.8800526510284,-87.7356040875341,ECUABARIEDADES CAZHO,16 S KOSTNER,POINT (-87.7356040875341 41.8800526510284),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Lake Geneva One Inc,2021-10-04,Pass W/ Conditions,TRUE,FALSE,FALSE,4039 W Madison St,CHICAGO,IL,60624.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: PREMISES HAS NO CLEAN UP PROCEDURES OR SUPPLIES TO CLEAN UP VOMIT AND DIARRHEAL EVENTS. MUST PROVIDE SUPPLIES OR BODY FLUID SPILL KIT. PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED.,41.8805972719203,-87.7272346062629,LAKE GENEVA ONE INC,4039 W MADISON ST,POINT (-87.7272346062629 41.8805972719203),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Ja Food & Grocery,2020-06-29,Pass W/ Conditions,TRUE,FALSE,FALSE,622 S Pulaski Rd,CHICAGO,IL,60624.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN PROCEDURE POSTED ON SITE OR NECESSARY ITEMS OUTLINED IN POLICY AVAILABLE ON SITE FOR RESPONDING TO VOMIT AND DIAARHEAL EVENTS THAT CAN OCCUR IN THE FOOD ESTABLISHMENT. MUST PROVIDE AND MAINTAIN.  PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND CLEANSER AVAILABLE AT WASHBOWL LOCATED INSIDE TOILET ROOM. INSTRUCTED TO PROVIDE AND MAINTAIN AT ALL TIMES FOR PROPER HAND-WASHING. PRIORITY FOUNDATION VIOLATION. 7-38-030 (c). NO CITATION ISSUED  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: UNABLE TO LOCATE THERMOMETERS LOCATED INSIDE OF REFRIGERATION UNITS. INSTRUCTED TO PROVIDE AND MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED EXCESSIVE BLACK CRATES USED FOR ELEVATION THROUGHOUT FACILITY. INSTRUCTED TO REMOVE TO PREVENT HIDING SPACE FOR PEST. MUST PROVIDE APPROPRIATE SHELVING UNITS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED ALL PLUMBING FIXTURES IN NEED OF DEEP CLEANING (TOILET AND SINK) INSIDE TOILET ROOM. MUST MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS THROUGHOUT FACILITY IN NEED OF CLEANING. MUST REMOVE ALL TRASH AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER STAINED TILES AND LARGE HOLE IN CEILING IN FRONT OF FACILITY NEAR DOORWAY. MUST ENCLOSE AND MAINTAIN.",41.8728322596959,-87.7255504295551,JA FOOD GROCERY,622 S PULASKI RD,POINT (-87.7255504295551 41.8728322596959),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
The Local Store Inc.,2025-02-21,Pass,TRUE,FALSE,FALSE,4117 W Madison St,CHICAGO,IL,60624.0,,41.8805780761146,-87.7288495277654,THE LOCAL STORE INC,4117 W MADISON ST,POINT (-87.7288495277654 41.8805780761146),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Madison Food & More Inc.,2025-02-11,Pass,TRUE,FALSE,FALSE,3851 W Madison St,CHICAGO,IL,60624.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: MUST PROVIDE THERMOMETERS FOR COOLERS CONTAINING (MILK, POLISH SAUSAGES, BACON) | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED BROKEN/CRUMBLED AND MISSING FLOOR TILES THROUGHOUT THE REAR STORAGE AREA. INSTRUCTED TO REMOVE ALL CARDBOARD LINING AND PROVIDE SMOOTH AND EASILY CLEANABLE FLOORING | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 OBSERVED STACKED UNUSED EQUIPMENT AND DISESSEMBLED SHELVING RACKS, MISCELLANEUS ITEMS, CRATES AND TRASH STORED THROUGHOIT REAR STORAGE AREA AS WELL AS BACKYARD AREA LEADING TO OUTSIDE RECEPTACLE. INSTRUCTED TO REMOVE ALL UNNECESSARY ITEMS, ELEVATE ALL ITEMS AT LEAST 6 INCHES OFF THE FLOOR TO PREVENT HIDING SPACES FOR PESTS, AND MAINTAIN THE PREMISES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 OBSERVED HOLE IN WALL ABOVE UTILITY SINK IN REAR STORAGE AREA. INSTRUCTED TO ENCLOSE.",41.88065348059390,-87.7228156137901,MADISON FOOD MORE INC,3851 W MADISON ST,POINT (-87.7228156137901 41.88065348059391),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Ont Group,2024-12-12,Pass,TRUE,FALSE,FALSE,236 N Pulaski Rd,CHICAGO,IL,60624.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED BROKEN AND MISSING THERMOMETERS INSIDE COOLING UNITS ON PREMISE. INSTRUCTED TO REPLACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WALL IN REAR STORAGE AREA WITH AT LEAST 1/4 INCH GAP BETWEEN FLOOR AND WALL. INSTRUCTED TO ENCLOSE.",41.8846431405856,-87.7259286636785,ONT GROUP,236 N PULASKI RD,POINT (-87.7259286636785 41.8846431405856),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Big Time Food & Deli,2024-12-04,Pass,TRUE,FALSE,FALSE,737 S Pulaski Rd,CHICAGO,IL,60624.0,,41.8715317849435,-87.7252217460104,BIG TIME FOOD DELI,737 S PULASKI RD,POINT (-87.7252217460104 41.8715317849435),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Munchies,2024-10-16,Pass,TRUE,FALSE,FALSE,3824 W Madison St,CHICAGO,IL,60624.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FRONT DOOR NOT RODENT PROOF. INSTRUCTED TO PROVIDE AND MAINTAIN IN ORDER TO RPEVENT PEST ENTRY.",41.8808851180747,-87.7217514077796,MUNCHIES,3824 W MADISON ST,POINT (-87.7217514077796 41.8808851180747),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
West Chicago Fuel,2023-06-30,Pass,TRUE,FALSE,FALSE,10 N Kilbourn Ave,CHICAGO,IL,60624.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED BUILD UP OF GRIME IN REACH IN FREEZER ON BOTTOM RIGHT CORNER. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO COVERED RECEPTACLE IN UNISEX STAFF RESTROOM. INSTRUCTED PERSON IN CHARGE TO PROVIDE COVERED RECEPTACLE FOR FEMININE PRODUCTS AND MAINTAIN.",41.8809089547587,-87.7380851734344,WEST CHICAGO FUEL,10 N KILBOURN AVE,POINT (-87.7380851734344 41.8809089547587),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Sweet Home Grocer,2023-03-03,Pass,TRUE,FALSE,FALSE,3952 W Monroe St,CHICAGO,IL,60624.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO INTERNAL OR EXTERNAL THERMOMETER IN DELI COOLER IN REAR WHERE BACON, SAUSAGE, AND EGGS ARE STORED. INSTRUCTED PERSON IN CHARGE TO PROVIDE AND MAINTAIN THERMOMETER FOR TAKING AMBIENT AIR TEMPERATURE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ITEMS STORED ON FLOOR BEHIND FRONT COUNTER AND IN REAR DRY STORAGE AREAS(BOXES, BAGS). INSTRUCTED PERSON IN CHARGE TO ORGANIZE AND MAINTAIN ALL ITEMS AT LEAST SIX INCHES FROM FLOOR AT ALL TIMES.",41.8798749138472,-87.7252903599048,SWEET HOME GROCER,3952 W MONROE ST,POINT (-87.7252903599048 41.8798749138472),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
