DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Phillip 66,2020-04-03,Pass W/ Conditions,TRUE,FALSE,FALSE,3905-3911 W 63Rd St,CHICAGO,IL,60629.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005.,41.7785818892633,-87.7205797072451,PHILLIP 66,39053911 W 63RD ST,POINT (-87.7205797072451 41.7785818892633),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
La Palma Supermercado,2025-04-11,Pass,FALSE,TRUE,FALSE,3927-3929 W 63Rd St,CHICAGO,IL,60629.0,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15: LOOOSE FAUCET AT HANDWASH SINK IN MENS TOILET ROOM. INSTD TO REPAIR AND MAINTAIN,41.7785673292022,-87.7214163289382,LA PALMA SUPERMERCADO,39273929 W 63RD ST,POINT (-87.7214163289382 41.7785673292022),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Walgreen #5724,2020-06-19,Pass,TRUE,FALSE,FALSE,7045 S Pulaski Rd,CHICAGO,IL,60629.0,,41.7645896091222,-87.7222396042944,WALGREEN 5724,7045 S PULASKI RD,POINT (-87.7222396042944 41.7645896091222),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Nopalitos Carrillo Grocery,2013-07-03,Pass,FALSE,TRUE,FALSE,5916 S Pulaski,CHICAGO,IL,60629.0,,41.7854532974205,-87.7230943007696,NOPALITOS CARRILLO GROCERY,5916 S PULASKI,POINT (-87.7230943007696 41.7854532974205),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Kmart #4235,2010-10-12,Pass,TRUE,FALSE,FALSE,7050 S Pulaski Rd,CHICAGO,IL,60629.0,,41.764372920117700,-87.7225190598699,KMART 4235,7050 S PULASKI RD,POINT (-87.7225190598699 41.764372920117694),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Los Cuates Mercado,2025-04-16,Out Of Business,TRUE,FALSE,FALSE,4531-4535 W Marquette Rd,CHICAGO,IL,60629.0,,41.7711072684816,-87.7359157141494,LOS CUATES MERCADO,45314535 W MARQUETTE RD,POINT (-87.7359157141494 41.7711072684816),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Villa'S Nuts & Candy,2024-11-25,Out Of Business,TRUE,FALSE,FALSE,5935 S Pulaski Rd,CHICAGO,IL,60629.0,,41.784922133915,-87.7227863914915,VILLAS NUTS CANDY,5935 S PULASKI RD,POINT (-87.7227863914915 41.784922133915),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
K Buena,2023-08-09,Out Of Business,TRUE,FALSE,FALSE,4322-4324 W Marquette Rd,CHICAGO,IL,60629.0,,41.771383319839900,-87.7309533689407,K BUENA,43224324 W MARQUETTE RD,POINT (-87.7309533689407 41.771383319839906),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Save-A-Lot #860,2023-04-06,Out Of Business,TRUE,FALSE,FALSE,4439 W 63Rd St,CHICAGO,IL,60629.0,,41.778415974365,-87.7340575714638,SAVEALOT 860,4439 W 63RD ST,POINT (-87.7340575714638 41.778415974365),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Villanueva Grocery Store,2020-05-20,Out Of Business,TRUE,FALSE,FALSE,4342 W 63Rd St,CHICAGO,IL,60629.0,,41.7786613203002,-87.7317899713404,VILLANUEVA GROCERY STORE,4342 W 63RD ST,POINT (-87.7317899713404 41.7786613203002),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Nopalitos & Especias,2020-05-20,Out Of Business,TRUE,FALSE,FALSE,4149 W 63Rd St,CHICAGO,IL,60629.0,,41.7784948702795,-87.7271585512027,NOPALITOS ESPECIAS,4149 W 63RD ST,POINT (-87.7271585512027 41.7784948702795),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Rayyan Trading Inc.,2020-04-08,Out Of Business,TRUE,FALSE,FALSE,6801 S Pulaski Rd,CHICAGO,IL,60629.0,,41.769511071961,-87.7223800576401,RAYYAN TRADING INC,6801 S PULASKI RD,POINT (-87.7223800576401 41.769511071961),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
"Supermercado La Fiesta #2, Inc.",2020-03-26,Out Of Business,TRUE,FALSE,FALSE,4156 W 63Rd St,CHICAGO,IL,60629.0,,41.7787103668731,-87.7275014041061,SUPERMERCADO LA FIESTA 2 INC,4156 W 63RD ST,POINT (-87.7275014041061 41.7787103668731),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Fresh Roasted Almond,2017-10-18,Out Of Business,TRUE,FALSE,FALSE,7601 S Cicero Ave,CHICAGO,IL,60652.0,,41.7546601243937,-87.7413847586052,FRESH ROASTED ALMOND,7601 S CICERO AVE,POINT (-87.7413847586052 41.7546601243937),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Panaderia Don Juan # 2,2015-11-10,Out Of Business,TRUE,FALSE,FALSE,3950-52 W 63Rd St,CHICAGO,IL,60629.0,,41.7787725408632,-87.7223358116483,PANADERIA DON JUAN 2,395052 W 63RD ST,POINT (-87.7223358116483 41.7787725408632),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Panaderia Don Juan,2011-10-03,Out Of Business,TRUE,FALSE,FALSE,3950-3952 W 63Rd St,CHICAGO,IL,60629.0,,41.7787725408632,-87.7223358116483,PANADERIA DON JUAN,39503952 W 63RD ST,POINT (-87.7223358116483 41.7787725408632),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
