DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
A-1 Food,2024-04-10,Pass W/ Conditions,TRUE,FALSE,FALSE,2319 W Devon Ave,CHICAGO,IL,60659.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: FOUND NO EMPLOYEE HEALTH POLICY/TRAINING ON SITE. INSTRUCTED FACILITY TO ESTABLISH AN APPROPRIATE EMPLOYEE HEALTH POLICY/TRAINING SYSTEM AND MAINTAIN WITH VERIFIABLE DOCUMENTS ON SITE. PRIORITY FOUNDATION VIOLATION 7-38-010.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: CONDENSER UNIT INSIDE THE WALK-IN COOLER  PIPE IS LEAKING. ALSO CONDENSER UNIT INSIDE THE WALK-IN FREEZER HAS ACCUMULATION OF ICE ON PIPES  INSTRUCTED TO REPAIR WITH A SMOOTH CLEANABLE AND NON-ABSORBENT MATERIAL | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: MUST SEAL GREASE TRAP AT BOTTOM OF UNIT.SMALL AMOUNT OF FLUID LEAKAGE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: BROKEN FLOOR TILES INSIDE THE MIDDLE WALK-IN COOLER,REPLACE",41.9976473375105,-87.6882611829126,A1 FOOD,2319 W DEVON AVE,POINT (-87.6882611829126 41.9976473375105),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Kol Tuv Kosher Foods Inc,2021-10-22,Pass W/ Conditions,TRUE,FALSE,FALSE,2938 W Devon Ave,CHICAGO,IL,60659.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT AND PROCEDURE. MUST PROVIDE ALL NECESSARY SUPPLIES AS OUTLINED IN POLICY. PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: MUST INSTALL HAND WASHING SINK IN WAREHOUSE BATHROOM NEAR WALK IN FREEZER OR ADJACENT TO BATHROOM OR REMOVE TOILET/ CAP OFF. PRIORITY FOUNDATION VIOLATION. 7-38-030(C). NO CITATION ISSUED.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MUST PROVIDE HANGING THERMOMETERS IN ALL COOLERS TO ACCURATELY MEASURE AMBIENT TEMPERATURE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED ABOUT A 1/4 INCH GAP AT BOTTOM OF REAR DOOR (RECEIVING). MUST REPAIR TORN RODENT PROOF STRIP AND SEAL GAP TO PREVENT ENTRY POINTS FOR PESTS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST DEFROST LARGE CHUNK OF ICE OFF OF CEILING IN WALK IN FREEZER.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNUSED EQUIPMENT STORED IN WAREHOUSE BATHROOM IN REAR. MUST REMOVE EQUIPMENT OR REMOVE BATHROOM FIXTURES/CAP OFF. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER DAMAGE ON BATHROOM CEILING IN WAREHOUSE WHERE MOP SINK IS LOCATED. MUST REPAIR ISSUE.",41.9976012808456,-87.7036126719451,KOL TUV KOSHER FOODS INC,2938 W DEVON AVE,POINT (-87.7036126719451 41.9976012808456),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
New York Pantry,2020-09-30,Pass W/ Conditions,TRUE,FALSE,FALSE,3150 W Touhy Ave,CHICAGO,IL,60645.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: MANAGEMENT UNABLE TO PROVIDE A PROCEDURE FOR CLEANING UP VOMITING AND DIARRHEA.INSTRUCTED TO HAVE ONE INCLUDING THE CHEMICALS AND SUPPLIES NEEDED. PRIORITY FOUNDATION #7-38-005. NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NOTED NO HAND WASHING SIGNAGE AT THE BATHROOM. INSTRUCTED MANAGEMENT TO HAVE ONE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NOTED WASH ROOM ON PREMISE WITH GARBAGE RECEPTACLE AND NO LID. INSTRUCTED TO PROVIDE TRASH CAN WITH LIDS AT ALL WOMEN WASH ROOM AND UNISEX WASH ROOM.",42.0119771558862,-87.7086716341655,NEW YORK PANTRY,3150 W TOUHY AVE,POINT (-87.7086716341655 42.0119771558862),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
King Of Flavors,2020-05-19,Pass W/ Conditions,TRUE,FALSE,FALSE,7455 N Western Ave Frnt,CHICAGO,IL,60645.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 501.11- MISSING DISINFECTANT EFFECTIVE FOR NOROVIRUS. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-005 NO CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED HEAVY CLUTTER THROUGHOUT ESTABLISHMENT ON SHELVES, FLOORS AND IN STORAGE AREAS. INSTRUCTED TO DETAIL CLEAN, ORGANIZE AND REMOVE ALL UNNECESSARY OR UNUSED ARTICLES AND EQUIPMENT TO PREVENT HIDING PLACES FOR PEST. MUST UPGRADE HOUSING KEEPING.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLOSE ALL WALL OPENING IN REAR STORAGE AREA.",42.0172941432285,-87.6900508776223,KING OF FLAVORS,7455 N WESTERN AVE FRNT,POINT (-87.6900508776223 42.0172941432285),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Mahireen Grocery Store,2019-03-29,Pass W/ Conditions,FALSE,TRUE,FALSE,6351 N Claremont Ave,CHICAGO,IL,60659.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO CLEAN UP PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE CLEAN UP PROCEDURE AND CLEANING SUPPLIES KIT.   PRIORITY FOUNDATION 7-38-005 NO CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REMOVE DUST BUILD-UP ON THE CEILING VENT COVER INSIDE THE WASHROOM. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO PROVIDE LIGHT SHIELD ON THE LIGHT BULBS ABOVE THE FREEZER. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: VENTILATION INSIDE THE WASHROOM NOT WORKING. INSTRUCTED TO REPAIR.",41.9974361647775,-87.6885058378549,MAHIREEN GROCERY STORE,6351 N CLAREMONT AVE,POINT (-87.6885058378549 41.9974361647775),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Fish Corner,2025-02-13,Pass,TRUE,FALSE,FALSE,6408-6410 N Campbell Ave,CHICAGO,IL,60645.0,,41.998001980285,-87.6924810469506,FISH CORNER,64086410 N CAMPBELL AVE,POINT (-87.6924810469506 41.998001980285),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Patel Bros,2024-12-20,Pass,TRUE,FALSE,FALSE,2610 W Devon Ave,CHICAGO,IL,60659.0,,41.9977473006482,-87.6952511580755,PATEL BROS,2610 W DEVON AVE,POINT (-87.6952511580755 41.9977473006482),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Atour Foods Inc,2024-12-06,Pass,TRUE,FALSE,FALSE,6348 N Claremont Ave,CHICAGO,IL,60659.0,52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: OBSERVED AIR CONDITIONER DRAINPIPE RUNNING INTO MIDDLE COMPARTMENT OF THE 3 COMPARTMENT SINK. INSTRUCTED TO PROPERLY RELOCATE DRAINLINE ONTO FLOOR DRAIN.,41.997374684834,-87.6887983177883,ATOUR FOODS INC,6348 N CLAREMONT AVE,POINT (-87.6887983177883 41.997374684834),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Ameera Food,2024-12-06,Pass,TRUE,FALSE,FALSE,6415 N Western Ave,CHICAGO,IL,60645.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO THERMOMETER INSIDE EGG REACH IN COOLER. MUST PROVIDE A WORKING THERMOMETER INSIDE SAID COOLER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT BUILD UP ON FLOOR AT NORTH SIDE OF STORE ALONG WALLS. MUST CLEAN FLOOR AND MAINTAIN.",41.9982171456466,-87.6897516976725,AMEERA FOOD,6415 N WESTERN AVE,POINT (-87.6897516976725 41.9982171456466),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
The Fish Keg Inc,2024-09-06,Pass,TRUE,FALSE,FALSE,2233 W Howard St,CHICAGO,IL,60645.0,,42.0193947423811,-87.68602049759,THE FISH KEG INC,2233 W HOWARD ST,POINT (-87.68602049759 42.0193947423811),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
