DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
"Noble Street Pantry, Inc.",2020-05-06,Pass W/ Conditions,TRUE,FALSE,FALSE,932 N Noble St,CHICAGO,IL,60642.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO CLEAN UP SUPPLIES OR PROCEDURES ONSITE FOR VOMITING OR DIARRHEA EVENTS. INSTRUCTED TO PROVIDE SUPPLIES AND POST PROCEDURES FOR EMPLOYEES TO FOLLOW. PRIORITY FOUNDATION. 7-38-005 NO CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: FOUND BROKEN DOOR GASKET ON WALK IN BEVERAGE COOLER, INSTRUCTED TO REPAIR AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND ICE CREAM DEEP FREEZER WITH ICE ACCUMULATION, INSTRUCTED TO DEFROST AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND WET MOP IMPROPERLY STORED, INSTRUCTED TO INSTALL HOOKS, FOR MOP TO AIR DRY PROPERLY AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND STAINED CEILING TILES ON SALES FLOOR, INSTRUCTED TO REPLACE AND MAINTAIN | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: FOUND BURNED OUT LIGHT ON THE SALES FLOOR, INSTRUCTED TO REPLACE AND MAINTAIN",41.8989224229301,-87.6626273109385,NOBLE STREET PANTRY INC,932 N NOBLE ST,POINT (-87.6626273109385 41.8989224229301),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Three Brother,2020-04-30,Pass W/ Conditions,TRUE,FALSE,FALSE,900 N Francisco Ave,CHICAGO,IL,60622.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO KIT AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. LEFT ONE PAGER AND INSTRUCTED TO MAINTAIN A KIT WITH ALL NECESSARY SUPPLIES INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS AND A PROCEDURE ON SITE AT ALL ITMES. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASH SIGNAGE AT HAND WASH SINK LOCATED IN REAR OF STORE NEAR HOT WATER TANK. INSTRUCTED TO INSTALL AND MAINTAIN.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETER IN COOLER CONTAINING MILK AND EGGS. INSTRUCTED INSTRUCTED TO INSTALL AND MAINTAIN.,41.8981068159415,-87.6993783778688,THREE BROTHER,900 N FRANCISCO AVE,POINT (-87.6993783778688 41.8981068159415),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Gopuff,2020-03-13,Pass W/ Conditions,TRUE,FALSE,FALSE,1725 W Hubbard St,CHICAGO,IL,60622.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO KIT AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. LEFT ONE PAGER AND INSTRUCTED TO MAINTAIN A KIT WITH ALL NECESSARY SUPPLIES INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS AND A WRITTEN PROCEDURE. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNAGE AT EXPOSED HAND WASHING SINK LOCATED IN EMPLOYEE BREAK ROOM. INSTRUCTED TO INSTALL AND MAINTAIN.,41.8897197469936,-87.6706170417111,GOPUFF,1725 W HUBBARD ST,POINT (-87.6706170417111 41.8897197469936),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Go Grocer,2020-01-14,Pass W/ Conditions,TRUE,FALSE,FALSE,1857 W North Ave,CHICAGO,IL,60622.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY DURING INSPECTION. INSTRUCTED TO COMPLY. PRIORITY FOUNDATION VIOLATION 7-38-010 NO CITATION ISSUED.",41.9104166542429,-87.6748697289415,GO GROCER,1857 W NORTH AVE,POINT (-87.6748697289415 41.9104166542429),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Halsted Packing House,2018-12-10,Pass W/ Conditions,TRUE,FALSE,FALSE,445 N Halsted St,CHICAGO,IL,60642.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: PREMISES HAS NO EMPLOYEE HEALTH POLICY. INSTRUCTED MANAGER TO COMPLY WITH THE NEW CODES OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-010. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING BEHIND SERVICE COUNTER AND WALK IN COOLER TO REMOVE SPILLS.",41.8902837844784,-87.6474583857821,HALSTED PACKING HOUSE,445 N HALSTED ST,POINT (-87.6474583857821 41.8902837844784),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Kasia'S,2024-11-14,Pass,TRUE,FALSE,FALSE,2101 W Chicago Ave,CHICAGO,IL,60622.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLEAN THE FOOD DEBRIS ON THE FLOOR BENEATH THE COOKING EQUIPMENT AND UNDER THE 3 COMPARTMENT SINK IN THE KITCHEN.",41.895756300747900,-87.679619700253,KASIAS,2101 W CHICAGO AVE,POINT (-87.679619700253 41.895756300747905),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Green Grocer Chicago,2024-10-31,Pass,FALSE,TRUE,FALSE,1402 W Grand Ave,CHICAGO,IL,60642.0,,41.8911361775635,-87.6624294283033,GREEN GROCER CHICAGO,1402 W GRAND AVE,POINT (-87.6624294283033 41.8911361775635),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Chi-Gro Grocer,2024-08-27,Pass,TRUE,FALSE,FALSE,1228 N Milwaukee Ave,CHICAGO,IL,60622.0,,41.903970595748900,-87.6676657293862,CHIGRO GROCER,1228 N MILWAUKEE AVE,POINT (-87.6676657293862 41.903970595748895),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
King Smokes,2024-06-06,Pass,TRUE,FALSE,FALSE,1232 N Milwaukee Ave,CHICAGO,IL,60622.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BASE COVING MISSING IN FRONT SALES AREA. INSTRUCTED MANAGER TO REPLACE BASE COVING.",41.9040527154137,-87.6677930887463,KING SMOKES,1232 N MILWAUKEE AVE,POINT (-87.6677930887463 41.9040527154137),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Target Store T-3307,2023-10-06,Pass,FALSE,TRUE,TRUE,1664 W Division St,CHICAGO,IL,60622.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE (WASTE CAN WITH LID) INSIDE CORNER UNISEX WASHROOM. INSTRUCTED TO PROVIDE COVERED WASTE RECEPTACLE FOR FEMININE HYGIENE PRODUCTS",41.9034150774464,-87.6699714414077,TARGET STORE T3307,1664 W DIVISION ST,POINT (-87.6699714414077 41.9034150774464),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
