DBA Name,Address,City,State,Zip,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7 Seas Food & Meat Mart #3 Inc,6501 S Cottage Grove Ave,CHICAGO,IL,60637.0,2025-04-17,Pass,TRUE,FALSE,,41.7766888361163,-87.6057003492933,7 SEAS FOOD MEAT MART 3 INC,6501 S COTTAGE GROVE AVE,FALSE,POINT (-87.6057003492933 41.7766888361163),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
"Tasty Spot Food & Grill On 67, Inc.",1508 E 67Th St,CHICAGO,IL,60637.0,2025-04-09,Pass,TRUE,FALSE,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN THE FOLLOWING: FRYERS AT BOTTOM AREA, EXTERIOR SURFACES OF FRYER AND GRILL, INTERIORS OF COOLERS AND FREEZERS WHERE NEEDED. MEAT COOLER STORING FRESH MEAT AND WALK-IN COOLER HAVE AN ODOR FROM THE FRESH MEAT BLOOD SPILLS; CLEAN AND MAINTAIN. CLEAN FAN COVERS INSIDE OF THE BEVERAGE WALK-IN COOLER TO REMOVE DUST OBSERVED. CLEAN EXTERIOR SURFACE OF GREASE RECEPTOR AT THREE COMP SINK TO REMOVE RUST STAINS ON TOP OF RECEPTOR. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: A CAP IS MISSING FROM THE BACK FLOW DEVICE ON TOP OF THE FAUCET AT THE UTILITY SINK; REPLACE CAP. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: THE WASHROOM DOOR IS NOT SELF CLOSING; INSTRUCTED TO PROVIDE A SELF CLOSING DEVICE AT WASHROOM DOOR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN THE FLOOR UNDER AND AROUND COOKING EQUIPMENT AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: INSTRUCTED THAT FOOD HANDLERS MUST OBTAIN THE REQUIRED FOOD HANDLER TRAINING.",41.773422815696,-87.5883368693424,TASTY SPOT FOOD GRILL ON 67 INC,1508 E 67TH ST,FALSE,POINT (-87.5883368693424 41.773422815696),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
A & K B P,6600 S Stony Island Ave,CHICAGO,IL,60637.0,2013-12-06,Pass,TRUE,FALSE,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPLACE ALL STAINED CEILING TILES IN OFFICE/DISH WASHING AREA AND THROUGHOUT PREMISES.",41.7751408577419,-87.5864419716943,A K B P,6600 S STONY ISLAND AVE,FALSE,POINT (-87.5864419716943 41.7751408577419),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
H & D Grocery,613 E 67Th St,CHICAGO,IL,60637.0,2011-12-27,Pass,FALSE,TRUE,,41.7729559039343,-87.6100578108808,H D GROCERY,613 E 67TH ST,FALSE,POINT (-87.6100578108808 41.7729559039343),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
"Tjp Services, Llc",6313-6319 S Vernon Ave,CHICAGO,IL,60637.0,2024-10-16,Out Of Business,TRUE,FALSE,,41.7798336961146,-87.614254883759,TJP SERVICES LLC,63136319 S VERNON AVE,FALSE,POINT (-87.614254883759 41.7798336961146),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
King & 61St Grocery,400 E 61St St,CHICAGO,IL,60637.0,2024-10-10,Out Of Business,TRUE,FALSE,,41.7839950695219,-87.6156541627908,KING 61ST GROCERY,400 E 61ST ST,FALSE,POINT (-87.6156541627908 41.7839950695219),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
Nelson'S Mini-Mart,608 E 61St St,CHICAGO,IL,60637.0,2024-08-30,Out Of Business,TRUE,FALSE,,41.784085932355,-87.610491102672,NELSONS MINIMART,608 E 61ST ST,FALSE,POINT (-87.610491102672 41.784085932355),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
Mj Food On Cottage Ave,6456 S Cottage Grove Ave,CHICAGO,IL,60637.0,2023-09-15,Out Of Business,TRUE,FALSE,,41.7769227011882,-87.6059996968895,MJ FOOD ON COTTAGE AVE,6456 S COTTAGE GROVE AVE,FALSE,POINT (-87.6059996968895 41.7769227011882),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
Farmers Food Basket,832 E 63Rd St,CHICAGO,IL,60637.0,2017-06-12,Out Of Business,TRUE,FALSE,,41.7805392882681,-87.604556895244,FARMERS FOOD BASKET,832 E 63RD ST,FALSE,POINT (-87.604556895244 41.7805392882681),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
67Th Matathon Inc.,501-511 E 67Th St,CHICAGO,IL,60637.0,2017-03-07,Out Of Business,TRUE,FALSE,,41.7729037128276,-87.6129812531677,67TH MATATHON INC,501511 E 67TH ST,FALSE,POINT (-87.6129812531677 41.7729037128276),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
"Jessie Grocery,Inc.",6317 S Dr.Martin Luther King Dr,CHICAGO,IL,60637.0,2016-11-18,Out Of Business,TRUE,FALSE,,41.7796083929699,-87.6154634618169,JESSIE GROCERYINC,6317 S DRMARTIN LUTHER KING DR,FALSE,POINT (-87.6154634618169 41.7796083929699),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
Mb Foods,623 E 67Th St,CHICAGO,IL,60637.0,2015-12-03,Out Of Business,TRUE,FALSE,,41.7729639943856,-87.6096357468319,MB FOODS,623 E 67TH ST,FALSE,POINT (-87.6096357468319 41.7729639943856),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
Englewood Grocery Food,600 E 67Th St,CHICAGO,IL,60637.0,2015-06-02,Out Of Business,TRUE,FALSE,,41.7731669767764,-87.6105713052664,ENGLEWOOD GROCERY FOOD,600 E 67TH ST,FALSE,POINT (-87.6105713052664 41.7731669767764),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
